Esperanto,IPA,Novial
A  a,[a],A  a
B  b,[b],B  b
C  c,[ts],Ts  ts; S  s
Ĉ  ĉ,[tʃ],Ch  ch; Sh  sh
D  d,[d],D  d
E  e,[e] or [ɛ],E  e
F  f,[f],F  f
G  g,[ɡ],G  g
Ĝ  ĝ,[dʒ],J  j
H  h,[h],H  h
Ĥ  ĥ,[x],K  k
I  i,[i],I  i
J  j,[j],Y  y
Ĵ  ĵ,[ʒ],J  j
K  k,[k],K  k
L  l,[l],L  l
M  m,[m],M  m
N  n,[n],N  n
O  o,[o] or [ɔ],O  o
P  p,[p],P  p
Kv kv,[kv],Qu  qu
R  r,[r],R  r
S  s,[s],S  s; Z  z
Ŝ  ŝ,[ʃ],Sh  sh; Ch  ch
T  t,[t],T  t
U  u,[u],U  u
Ŭ  ŭ,[u̯],U  u (after a vowel)
V  v,[v],V  v; W  w
Ks  ks; kz,[ks]  [ɡz],X  x
Z  z,[z],Z  z; S  s
