IPA,a,ap,at,ak,aʔ,ã,ɔ,ɔk,ɔ̃,ə,o,e,ẽ,i,iɛn,iəŋ
Pe̍h-ōe-jī,a,ap,at,ak,ah,aⁿ,o͘,ok,oⁿ,o,o,e,eⁿ,i,ian,eng
Revised TLPA,a,ap,at,ak,ah,aN,oo,ok,ooN,o,o,e,eN,i,ian,ing
TLPA,a,ap,at,ak,ah,ann,oo,ok,oonn,o,o,e,enn,i,ian,ing
BP,a,ap,at,ak,ah,na,oo,ok,noo,o,o,e,ne,i,ian,ing
MLT,a,ab/ap,ad/at,ag/ak,aq/ah,va,o,og/ok,vo,ø,ø,e,ve,i,ien,eng
DT,a,āp/ap,āt/at,āk/ak,āh/ah,ann/aⁿ,o,ok,onn/oⁿ,or,or,e,enn/eⁿ,i,ian/en,ing
Taiwanese kana,アア,アㇷ゚,アッ,アㇰ,アァ,アア,オオ,オㇰ,オオ,オオ,ヲヲ,エエ,エエ,イイ,イェヌ,イェン
Extended bopomofo,ㄚ,ㄚㆴ,ㄚㆵ,ㄚㆶ,ㄚㆷ,ㆩ,ㆦ,ㆦㆶ,ㆧ,ㄜ,ㄛ,ㆤ,ㆥ,ㄧ,ㄧㄢ,ㄧㄥ
Tâi-lô,a,ap,at,ak,ah,ann,oo,ok,onn,o,o,e,enn,i,ian,ing
Example (traditional Chinese),亞 洲,壓 力,警 察,沃 水,牛 肉,三 十,烏 色,中 國,,澳 洲,澳 洲,下 晡,,醫 學,鉛 筆,英 國
Example (simplified Chinese),亚 洲,压 力,警 察,沃 水,牛 肉,三 十,乌 色,中 国,,澳 洲,澳 洲,下 晡,,医 学,铅 笔,英 国
