IPA,p,b,pʰ,m,t,tʰ,n,nŋ,l,k,ɡ,kʰ,h,tɕi,ʑi,tɕʰi,ɕi,ts,dz,tsʰ,s
Pe̍h-ōe-jī,p,b,ph,m,t,th,n,nng,l,k,g,kh,h,chi,ji,chhi,si,ch,j,chh,s
Revised TLPA,p,b,ph,m,t,th,n,nng,l,k,g,kh,h,zi,ji,ci,si,z,j,c,s
TLPA,p,b,ph,m,t,th,n,nng,l,k,g,kh,h,zi,ji,ci,si,z,j,c,s
BP,b,bb,p,bb,d,t,n,lng,l,g,gg,k,h,zi,li,ci,si,z,l,c,s
MLT,p,b,ph,m,t,th,n,nng,l,k,g,kh,h,ci,ji,chi,si,z,j,zh,s
DT,b,bh,p,m,d,t,n,nng,l,g,gh,k,h,zi,r,ci,si,z,r,c,s
Taiwanese kana,パア,バア,パ̣ア,マア,タア,タ̣ア,ナア,ヌン,ラア,カア,ガア,カ̣ア,ハア,チイ,ジイ,チ̣イ,シイ,サア,ザア,サ̣ア,サア
Extended bopomofo,ㄅ,ㆠ,ㄆ,ㄇ,ㄉ,ㄊ,ㄋ,ㄋㆭ,ㄌ,ㄍ,ㆣ,ㄎ,ㄏ,ㄐ,ㆢ,ㄑ,ㄒ,ㄗ,ㆡ,ㄘ,ㄙ
Tâi-lô,p,b,ph,m,t,th,n,nng,l,k,g,kh,h,tsi,ji,tshi,si,ts,j,tsh,s
Example (traditional Chinese),報 紙,閩 南,普 通,請 問,豬 肉,普 通,過 年,雞 卵,樂 觀,價 值,牛 奶,客 廳,煩 惱,支 持,漢 字,支 持,是 否,報 紙,熱 天,參 加,司 法
Example (simplified Chinese),报 纸,闽 南,普 通,请 问,猪 肉,普 通,过 年,鸡 卵,乐 观,价 值,牛 奶,客 厅,烦 恼,支 持,汉 字,支 持,是 否,报 纸,热 天,参 加,司 法
