[empty],Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
DataViz Sheet To Go,11.000[12],Palm OS  Windows Mobile  Symbian (UIQ  S80),Documents To Go,DataViz,Proprietary,Yes,[empty],[empty]
EIOffice Spreadsheet,2009  5.0.1272.101[13],Windows  Linux,EIOffice,Evermore Software,Proprietary,Yes,[empty],Import only[13]
Gnumeric,1.8[35],Linux  Unix  Windows,[empty],GNOME,GPL,Yes,[empty],Incomplete support
Go-oo Calc,3.0.0[14],Windows  Linux  Unix  Mac OS X,Go-oo,Free software community,LGPL  CDDL,Yes,[empty],Import only
Google Docs,(current)[15],Web application,Google Docs,Google,Proprietary,Yes,[empty],[empty]
IBM Lotus Symphony,1.3[16],Windows  Mac OS X  Linux,IBM Lotus Symphony,IBM,Proprietary,Yes,[empty],Import only
Kingsoft Office Spreadsheets,2009 [22] 6.3.0.1733,Windows,Kingsoft Office,Kingsoft,Proprietary,Yes,[empty],Import only beta support
LibreOffice,All versions,Windows  OS X  Linux  Unix  Android,[empty],The Document Foundation,MPL,Yes,Yes,[empty]
Microsoft Office Excel,2013  2011 for Mac,Windows  Mac OS X,Microsoft Office,Microsoft,Proprietary,Yes,Yes,[empty]
Microsoft Office Mobile Excel Mobile,6.1[23],Windows Mobile,Microsoft Office Mobile,Microsoft,Proprietary,Yes,[empty],[empty]
Microsoft Works Spreadsheet,9[24],Windows,Microsoft Works,Microsoft,Proprietary,Yes,Yes,[empty]
NeoOffice Calc,2.2.5[36],Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,Yes,[empty],[empty]
Numbers,'08[37],Mac OS X,iWork,Apple Inc.,Proprietary,Yes,[empty],[empty]
ONLYOFFICE,5.2[27],Web Application,ONLYOFFICE,Ascensio System SIA,Proprietary  AGPL,Yes,[empty],[empty]
OpenOffice.org Calc,3.0,Windows  Linux  Unix  Mac OS X,OpenOffice.org,OpenOffice.org,LGPL,Yes,[empty],Import only
Quattro Pro,X4 (2008)[34],Windows,WordPerfect Office,Corel,Proprietary,Yes,[empty],Import only
StarOffice Calc,9[30],Windows  Linux  Solaris,StarOffice,Sun Microsystems,Proprietary,Yes,[empty],Import only[31]
Thinkfree Office Calc,[33],Windows  Mac OS X  Linux,Thinkfree Office,ThinkFree Corp,Proprietary,Yes,[empty],[empty]
[empty],Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
