Name,Developer,Status,First release,Latest release,Current version,Based on,License,Source available
AbsoluteTelnet,Celestial Software (Brian Pence),Active,1996,2016-10-12,10.16[1],[empty],Proprietary,No
Bitvise,Bitvise Limited,Active,2001,2018-11-07,8.18[2],[empty],Proprietary,No
Cisco CLI Analyzer,Cisco Systems Inc,Active,2015,2018-09-06,3.6.1 [3],[empty],Proprietary,No
ConnectBot,Kenny Root / Jeffrey Sharkey,Active,2007-11,2018-11-09,1.9.2 [4],Trilead SSH-2 for Java,Apache,Yes
CRAX Commander,Soft4U2 Marcin Słowik,Active,2013-09,2015-12-01,1.10.6,libSSH2,Proprietary,Yes
Dropbear,Matt Johnston,Active,2003-04-06,2017-05-18,2017.75,[empty],MIT,Yes
eSSH Client,Ecode Software,Inactive,2002-07,[empty],[empty],[empty],Proprietary,No
GSW ConnectBot,Georgia SoftWorks,Active,2018,2018-11-09,2.5.003 [5],Trilead SSH-2 for Java,Proprietary,No
lsh,Niels Möller,Active,1999-05-23,2013-06-26,2.1,[empty],GPL,Yes
OpenSSH,The OpenBSD project,Active,1999-12-01,2018-10-19,7.9,ossh,BSD,Yes
PACManager,David Torrejón Vaquerizas,Active,2010-01-01,2016-07-21,4.5.5.7,OpenSSH  Telnet  FTP  vncviewer  rdesktop  cu  remote-tty  mosh  cadaver,GPL,Yes
PuTTY,Simon Tatham,Active,1999-01-22,2017-07-08,0.70[6],[empty],MIT,Yes
Reflection for Secure IT,Attachmate,Active,[empty],2012-11-12,[empty],F-Secure SSH,Proprietary,No
SecureCRT,VanDyke Software,Active,1998-06,2018-11-15,8.5.2[7],[empty],Proprietary,No
SSH Tectia Client/ConnectSecure,SSH Communications Security (former Tectia),Active,1995-07,2017-06-22,6.4.15,Own implementation in C,Proprietary,No
SSH Secure Shell Client,SSH Communications Security Corp.,Inactive,2000,2003,3.2.9[8],[empty],Proprietary,No
SunSSH,Open Solaris,Active,2001,[empty],[empty],OpenSSH 2.3,CDDL,Yes
Tera Term,TeraTerm Project,Active,2004,2018-08-31,4.100[9],Tera Term Pro 2.3 (1994–1998),BSD,Yes
Termius,Crystalnix Limited,Active,2012,2017-01-08,[empty],[empty],Proprietary,No
Termux,[empty],Active,2012,2018-09-08,0.65,[empty],CCA,Yes
TN3270 Plus,SDI USA  Inc.,Active,2006,[empty],[empty],[empty],Proprietary,No
TtyEmulator,FCS Software,Active,2002-05,[empty],[empty],[empty],Proprietary,No
Xshell,NetSarang Computer  Inc.,Active,2002-11-02,2018-12-27,6.0.0111[10],[empty],Proprietary,No
ZOC Terminal,EmTec  Innovative Software,Active,1995-07-01,2018-10-17,7.21.1[11],[empty],Proprietary,No
