Implementation,TPM support,Hardware token support,Objects identified via
BearSSL,No,No,[empty]
Botan,Partial[188],PKCS11,[empty]
CryptoComply,Yes,PKCS11,[empty]
cryptlib,No,PKCS11,User-defined label
GnuTLS,Yes,PKCS11,RFC7512 PKCS #11 URLs[222]
JSSE,No,PKCS11 Java Cryptography Architecture  Java Cryptography Extension,[empty]
LibreSSL,Yes,PKCS11 (via 3rd party module),Custom method
MatrixSSL,No,PKCS11,[empty]
mbed TLS,No,PKCS11 (via libpkcs11-helper) or standard hooks,Custom method
NSS,No,PKCS11,[empty]
OpenSSL,Yes,PKCS11 (via 3rd party module)[223],RFC7512 PKCS #11 URLs[222]
RomSTL,Yes,No,Custom method
RSA BSAFE Micro-Edition Suite,No,PKCS11 (via 3rd party module),User-defined label
RSA BSAFE SSL-J,No,No,[empty]
rustls,No,No,[empty]
SChannel,No,Microsoft CryptoAPI,UUID  User-defined label
Secure Transport,[empty],[empty],[empty]
wolfSSL,No,No,[empty]
Implementation,TPM support,Hardware token support,Objects identified via
