Company,Software,On-demand scan,On-access scan,Firewall,AntiSpam,Web protection,Privacy Advisor,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,AV Comparatives,AV Test[10],License,Price,First release,Country of origin,Notes
AhnLab,AhnLab Mobile Security,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Proprietary,?,2010,South Korea,[empty]
Avast,Avast Mobile Security,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Free,2011,Czech Republic,[empty]
Avast,Avast Premier Mobile Security,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2013,Czech Republic,[empty]
AVG Technologies (Grisoft),AVG AntiVirus FREE for Android,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Proprietary,Free,2010,Czech Republic,[empty]
Avira Operations,Avira Free Android Security,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Proprietary,Free,2004,Germany,[empty]
Bitdefender,Bitdefender Mobile Security,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Proprietary,Freemium,2011,Romania,[empty]
Cheetah Mobile,Security Master,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Proprietary,Free,2012,China,Earlier it is known as CM Security[11]
Comodo Group,Comodo Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Free,2012,United States,[empty]
Dr. Web,Dr. Web Mobile Security Suite,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Trialware,2010,Russia,[empty]
ESET,ESET Mobile Security,Yes,Yes,No,Yes,Partially  only Anti-Phishing,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Freemium[12],2011,Slovakia,[empty]
F-Secure,F-Secure Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,2010,Finland,[empty]
G Data Software,G Data Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Proprietary,Non-free,2012,Germany,[empty]
Kaspersky Lab,Kaspersky Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2011,Russia,Banned by USG
Kaspersky Lab,Kaspersky Tablet Security,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Non-free,2011,Russia,Banned by USG
McAfee,McAfee Mobile Security,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2011,United States,[empty]
Qihoo 360,360 Mobilesafe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Free,2009,China,[empty]
Quick Heal,Quick Heal Total Security,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Free,2012,India,[empty]
Sophos,EndUser Protection,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Proprietary,Non-free,2011,United Kingdom,[empty]
Sourcefire,FireAMP Mobile,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Proprietary,?,2012,United States,[empty]
Symantec,Norton Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2011,United States,[empty]
Trend Micro,Trend Micro Mobile Security,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Non-free,2012,Japan,[empty]
TrustPort,TrustPort Mobile Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Proprietary,Freemium,2012,Czech Republic,[empty]
Webroot,SecureAnywhere Mobile,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary,Freemium,2012,United States,[empty]
Company,Software,On-demand scan,On-access scan,Firewall,AntiSpam,Web protection,Privacy Advisor,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,AV Comparatives,AV-Test,License,Price,First release,Country of origin,Notes
