Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
Web of Science Dataset,Hierarchical Datasets for Text Classification,None.,46.985,Text,2017,[213][214],K. Kowsari et al.
Legal Case Reports,Federal Court of Australia cases from 2006 to 2009.,None.,4.000,Text,2012,[215][216],F. Galgani et al.
Blogger Authorship Corpus,Blog entries of 19.320 people from blogger.com.,Blogger self-provided gender  age  industry  and astrological sign.,681.288,Text,Sentiment analysis  summarization  classification,2006,[217][218],J. Schler et al.
Social Structure of Facebook Networks,Large dataset of the social structure of Facebook.,None.,100 colleges covered,Text,Network analysis  clustering,2012,[219][220],A. Traud et al.
Dataset for the Machine Comprehension of Text,Stories and associated questions for testing comprehension of text.,None.,660,Text,Natural language processing  machine comprehension,2013,[221][222],M. Richardson et al.
The Penn Treebank Project,Naturally occurring text annotated for linguistic structure.,Text is parsed into semantic trees.,~ 1M words,Text,Natural language processing  summarization,1995,[223][224],M. Marcus et al.
DEXTER Dataset,Task given is to determine  from features given  which articles are about corporate acquisitions.,Features extracted include word stems. Distractor features included.,2600,Text,Classification,2008,[225],Reuters
Google Books N-grams,N-grams from a very large corpus of books,None.,2.2 TB of text,Text,Classification  clustering  regression,2011,[226][227],Google
Personae Corpus,Collected for experiments in Authorship Attribution and Personality Prediction. Consists of 145 Dutch-language essays.,In addition to normal texts  syntactically annotated texts are given.,145,Text,Classification  regression,2008,[228][229],K. Luyckx et al.
CNAE-9 Dataset,Categorization task for free text descriptions of Brazilian companies.,Word frequency has been extracted.,1080,Text,Classification,2012,[230][231],P. Ciarelli et al.
Sentiment Labeled Sentences Dataset,3000 sentiment labeled sentences.,Sentiment of each sentence has been hand labeled as positive or negative.,3000,Text,Classification  sentiment analysis,2015,[232][233],D. Kotzias
BlogFeedback Dataset,Dataset to predict the number of comments a post will receive based on features of that post.,Many features of each post extracted.,60.021,Text,Regression,2014,[234][235],K. Buza
Stanford Natural Language Inference (SNLI) Corpus,Image captions matched with newly constructed sentences to form entailment  contradiction  or neutral pairs.,Entailment class labels  syntactic parsing by the Stanford PCFG parser,570.000,Text,Natural language inference/recognizing textual entailment,2015,[236],S. Bowman et al.
DSL Corpus Collection (DSLCC),A multilingual collection of short excerpts of journalistic texts in similar languages and dialects.,None,294.000 phrases,Text,Discriminating between similar languages,2017,[237],Tan  Liling et al.
Urban Dictionary Dataset,Corpus of words  votes and definitions,User names anonymised,2.606.522,CSV,NLP  Machine comprehension,2016-05,[238],Anonymous
