File manager,DOS,OS/2 & eCS,Windows,Mac OS X,Linux,BSD,Unix,AmigaOS,OpenVMS
Directory Opus,No,No,Yes,No,No,No,No,Yes[8],No
Dired,Yes[9],Yes[10],Yes[11],Yes[12],Yes,Yes,Yes,Yes[13],Yes[14]
Dolphin,No,No,Needs KDE[15],Yes[16],Yes,Yes,Yes,No,No
Double Commander,No,No,Yes,Yes,Yes,Yes,Yes,No,No
DOS Navigator,Yes,Yes,Yes,No,No,No,No,No,No
emelFM2,No,No,No,No,Yes,Yes,Yes,No,No
File Commander,No,Yes,Yes,No,Yes,Yes,Yes,No,No
fman,No,No,Yes,Yes,Yes,No,No,No,No
GNOME Commander,No,No,No,Yes,Yes,Yes,Yes,No,No
Konqueror,No,No,Needs KDE[15],Yes[16],Yes,Yes,Yes,No,No
Krusader,No,No,No,Needs X,Yes,Yes,Yes,No,No
Midnight Commander,Yes,No,Yes[17],Yes[18],Yes,Yes,Yes,Yes,No
muCommander,No,No,Yes,Yes,Yes,Yes,Yes,?,Yes
GNOME Files (Nautilus),No,No,No,Yes,Yes,Yes,Yes,No,No
Nemo,No,No,No,No,Yes,Yes,Yes,No,No
PathMinder,Yes,No,Yes,No,No,No,No,No,No
PCManFM,No,Needs POSIX-compliant platform,Needs POSIX-compliant platform,Needs POSIX-compliant platform,Yes,Yes,Yes,No,Yes
Ranger,No,No,No,Yes,Yes,Yes,Yes,No,No
ROX-Filer,No,No,,,Yes,Yes,Yes,No,No
Thunar,No,No,No,No,Yes,Yes,Yes,No,No
Total Commander,No,No,Yes,No,Yes,No,No,No,No
Volkov Commander,No,Yes,Yes,No,No,No,No,No,No
Xandros File Manager,No,No,No,No,Yes,?,?,No,No
Xfe,No,Needs X,Needs X,Needs X,Yes,Yes,Yes,Needs X[19],Yes
Xfm,No,Needs X,Needs X,Needs X,Yes,Yes,Yes,No,Yes
ZTreeWin,No,Yes,Yes,No,No,No,No,No,No
File manager,DOS,OS/2 & eCS,Windows,Mac OS X,Linux,BSD,Unix,AmigaOS,OpenVMS
