Name,Operating system,Freeware version,Portable,Encrypts files,Detect conflict,File lock,Open file support,Revision control,Detect rename,Detect move,Full duplex transfer,Propagate deletes,Case sensitive,Delta copying (block level transfer),LAN Sync,Event Driven,Vault,Virtual Disk
@MAX SyncUp,Windows,Limited,No,[empty],Yes,Yes,Yes,[empty],No,No,[empty],Yes,[empty],Yes,Yes,[added],[added],[added]
Allway Sync,Windows,Limited,Yes,Yes,Yes,[empty],Yes,Yes,No,No,Yes,Yes,[empty],[empty],Yes,[added],[added],[added]
AIMstor (discontinued),Windows,Limited,Yes,[empty],Yes,Yes,Yes,Yes through VSS,Yes,Yes,Yes,Yes,Case preserving only,[empty],[empty],[added],[added],[added]
Argentum Backup,Windows,No,Yes,[empty],[empty],[empty],No,Yes,[empty],[empty],[empty],[empty],Yes,[empty],[empty],[added],[added],[added]
BackupAssist,Windows,No,[empty],[empty],No,[empty],Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added]
Backup4all,Windows,Yes,Yes,Yes,No,[empty],Yes,Yes,[empty],[empty],[empty],Yes,[empty],Yes,[empty],[added],[added],[added]
BatchSync,Windows,No,No,[empty],Yes,No,No,[empty],[empty],Yes,Yes,Yes,[empty],[empty],[empty],[added],[added],[added]
Box Sync,Windows [20] OS X [20] Android  BlackBerry  iOS[20],Limited,[empty],[empty],Yes,?,?,Yes,?,?,?,Yes,?,[empty],No,[added],[added],[added]
Carbon Copy Cloner,OS X,No,No,Yes,Yes,Yes,Yes (only with APFS),Yes,No[21],No[21],Yes,Yes,Yes,No,Yes,[added],[added],[added]
ChronoSync,OS X,No,No,Yes,Yes,Yes,Yes (only with APFS),Yes,No,No,Yes,Yes,Yes,No,Yes,[added],[added],[added]
Cloudike,Windows  OS X  iPhone  Android,Yes,No,[empty],Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,[empty],[empty],[added],[added],[added]
CloudMe,Windows  OS X  Linux  iPhone  Android  Google TV  Samsung TV,Yes,No,[empty],Yes,?,?,No,Yes,No,?,?,Yes,?,No,[added],[added],[added]
Cubby - Free (discontinued),Windows  OS X,No,No,[empty],Renames older and keeps both,No,[empty],Yes,Yes,Yes,?,Yes,[empty],No,No,[added],[added],[added]
Cubby - Pro (discontinued),Windows  OS X,No,No,[empty],Renames older and keeps both,No,[empty],Yes,Yes,Yes,?,Yes,[empty],LAN Sync only,Yes,[added],[added],[added]
Distributed Storage,Windows  Linux,No,[empty],[empty],Yes,Yes,Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added]
Dmailer Sync (discontinued),Windows,Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added],[added]
