Format,Full name,Owner,Based Format,File extension,MIME type,Application,Patented
Abc,Advanced Bitonal Compression,LEAD Technologies,[empty],.abc,[empty],Bitonal document and check images.[1],Yes
ADRG,ARC Digitized Raster Graphics,[empty],[empty],.adrg,[empty],[empty],[empty]
AdobeResource,[empty],Adobe Systems,TIFF?,[empty],[empty],[empty],[empty]
ADRI,ARC Digitized Raster Images,[empty],[empty],.adri,[empty],[empty],[empty]
AF Design,Affinity Designer,Serif Europe,[empty],.afdesign,[empty],Vector graphics document for Affinity Designer. Can also be opened by Affinity Photo.,[empty]
AF Photo,Affinity Photo,Serif Europe,[empty],.afphoto,[empty],Raster graphics document for Affinity Photo. Can also be opened by Affinity Designer.,[empty]
AI,Adobe Illustrator Document,Adobe Systems,[empty],.ai,application/illustrator  application/postscript,Adobe Illustrator files are editable using programs that support the format  such as Adobe Illustrator  Inkscape  CorelDRAW  etc.,Yes
Alias Pix image,[empty],[empty],[empty],.pix  .matte  .mask  .alpha  .als,[empty],Supported by GIMP,[empty]
AMI,[empty],[empty],[empty],.ami,[empty],Supported by Amica Paint,[empty]
ANI,ANI file format,Microsoft,RIFF,.ani,[empty],Used by Microsoft Windows,[empty]
ANIM,[empty],Electronic Arts and Commodore Amiga,IFF,.iff  .anim,video/x-anim,[empty],[empty]
APNG,Animated Portable Network Graphics,Mozilla,PNG,.png,image/png,1.9 and Opera,No
Apple Icon Image,[empty],Apple Inc.,[empty],.icns,[empty],Used by macOS,[empty]
APX,[empty],[empty],[empty],.apx,[empty],Supported by Ebuyer Photo Paint,[empty]
ART,[empty],AOL,[empty],.art,[empty],[empty],[empty]
ART,PFS: 1st Publisher clip art,[empty],[empty],.art,[empty],[empty],[empty]
ARTB,Artboard file format,Mapdiva  LLC,[empty],.artb,[empty],Vector image format; Artboard drawing files are editable using programs that support the format  such as Artboard and Ortelius,[empty]
ASCII art,[empty],[empty],[empty],.txt  .ansi  .text,text/vnd.ascii-art,Supported by GIMP,[empty]
Authorware map,[empty],Adobe Systems,[empty],.aam,application/x-authorware-map,[empty],[empty]
Authorware seg,[empty],Adobe Systems,[empty],.aas,application/x-authorware-seg,[empty],[empty]
Authorware bin,[empty],Adobe Systems,[empty],.aab  .x32  .u32  .vox,application/x-authorware-bin,[empty],[empty]
AutoCAD DXF,Drawing Interchange Format,Autodesk,[empty],.dxf,image/vnd.dxf,[empty],[empty]
AWD,[empty],[empty],[empty],.awd,image/awd,Used by PhotoPhilia,[empty]
ARW,Sony Alpha RAW,Sony,TIFF,.arw,[empty],[empty],[empty]
BAY,Casio RAW,Casio,[empty],.bay,[empty],[empty],[empty]
BigTIFF,[empty],[empty],TIFF,.btf  .tiff  .tif,image/tiff,[empty],[empty]
BMP,raw-data unencoded or encoded bitmap,simple colour image format  far older than Microsoft; some .bmp encoding formats developed/owned by Microsoft,[empty],.bmp  .dib  .rle  .2bp (2bpp),image/x-bmp,Used by many 2D applications.,No
bmp compressor,Bit Map Compressor,[empty],[empty],.hpc,[empty],[empty],[empty]
BLEND,resource archive (3D meshes  textures  auxiliary data),[empty],[empty],.blend,[empty],native data package format of Blender,[empty]
BPG,Better Portable Graphics,Fabrice Bellard,HEVC,.bpg,[empty],Suggestion to replace JPEG  JavaScript decoder available[2],Yes
BRK,Brooktrout Fax,[empty],[empty],.brk,[empty],[empty],[empty]
BSAVE,BSAVE Image,[empty],[empty],.BSV,[empty],Used by IBM PC.,[empty]
CAM,Casio CAM,Casio,JPEG,.cam,[empty],[empty],[empty]
CADRG,Compressed ARC Digitized Raster Graphics,[empty],[empty],.cadrg,[empty],[empty],[empty]
CAL,CALS raster file format,[empty],[empty],.cal  .cals  .ras  .dcl,[empty],[empty],[empty]
Capture One RAW,[empty],Phase One,[empty],.cap,[empty],[empty],[empty]
CIFF,Camera Image File Format,Canon,[empty],.crw  .ciff,[empty],[empty],[empty]
CR2,Canon RAW 2,Canon,TIFF,.cr2,[empty],[empty],[empty]
CDR,CorelDRAW Document,Corel Corporation,[empty],.cdr  .ccx  .cdt  .cmx,application/coreldraw,CorelDRAW files are editable using programs that support the format  such as CorelDRAW  Adobe Illustrator  Inkscape  etc.,Yes
CGM,Computer Graphics Metafile,[empty],[empty],.cgm,image/cgm,CGM files are editable using programs that support the format  such as IBM Lotus Freelance Graphics  Inkscape  etc.,[empty]
CIN,Cineon,[empty],[empty],.cin,image/cineon,[empty],[empty]
Corel Paint Shop Pro Pattern,[empty],[empty],[empty],.pat,[empty],Supported by Corel Paint Shop Pro,[empty]
CPC,Cartesian Perceptual Compression,Cartesian Products  Inc.,[empty],.cpc  .cpi,image/cpi,Highly compressed raster imaging format.,Yes
CPKT,APP5-CPKT Format,[empty],JPEG,.jpg  .jpe  .jpeg,image/jpeg,Used by PROSERPINE.,[empty]
CPT,Corel Photo-Paint Image,[empty],[empty],.cpt,[empty],Variant of TIFF up to and including version 6.0; proprietary as of 7.0 (1997),[empty]
Crack Art,[empty],Detlef Röttger & Jan Borchers,[empty],.ca1  .ca2  .ca3,[empty],An application on Atari ST,[empty]
CUT,[empty],[empty],[empty],.cut,[empty],Used by DSHELL.,[empty]
CMYK,[empty],[empty],[empty],.cmyk,[empty],[empty],[empty]
CMYKA,[empty],[empty],[empty],.cmyka,[empty],[empty],[empty]
DCS,Kodak DCS Pro RAW,Kodak,[empty],.dcs,[empty],[empty],[empty]
DCR,Digital Camera Raw,Kodak,TIFF,.dcr,[empty],[empty],[empty]
DDS,DirectDraw Surface,Microsoft,[empty],.dds,[empty],[empty],[empty]
Degas,Design & Entertainment Graphic Arts System,Integral Solutions,[empty],.pi1  .pi2  .pi3  .pc1  .pc2  .pc3,[empty],An application on Atari ST,[empty]
DNG,Digital Negative,Adobe Systems,Compatible with ISO 12234-2  TIFF/EP[3],.dng,[empty],A raw image format suitable as an archival format and as the native raw format of digital cameras[4],No: no known intellectual property encumbrances or license requirements[5]
DIA,Dia Drawing,[empty],XML,.dia,[empty],Used by Dia,[empty]
DICOM,Digital Imaging and Communications in Medicine,National Electrical Manufacturers Association,[empty],.dcm  .dicom,application/dicom[6],Numerous biomedical imaging applications[6] (e.g. OsiriX  XMedCon)  some general bitmap graphics applications (e.g. GIMP  Photoshop),[empty]
DjVu,DjVu,AT&T Research,[empty],.djvu  .djv,image/vnd.djvu,[empty],[empty]
Doodle,[empty],[empty],[empty],.doo,[empty],An application on Atari ST,[empty]
DPX,Digital Picture eXchange file format,[empty],[empty],.dpx,image/dpx,[empty],[empty]
DRF,Kodak Pro Back RAW,Kodak,[empty],.drf,[empty],[empty],[empty]
Dr. Halo,[empty],[empty],[empty],.cut,[empty],[empty],[empty]
Encapsulated PostScript,page description/scripting language (see PostScript),Adobe,[empty],.epi  .eps  .eps2  .eps3  .epsf  .epsi  .ept,application/postscript,printing/publishing industry standard format,[empty]
ECW,Enhanced Compressed Wavelet,ERDAS,[empty],.ecw,[empty],Wavelet image format used primarily with geo-referenced aerial and satellite imagery,No
EDG,EDGE2 Original Format,TAKABO,[empty],.edg,[empty],Used by EDGE2,[empty]
EMF,Enhanced Metafile Format,Microsoft,[empty],.emf  .emz,[empty],Microsoft Office,[empty]
EMF+,Enhanced Metafile Format Plus Extensions,Microsoft,[empty],.emf  .emz,[empty],[empty],[empty]
ERF,EPSON RAW,EPSON,TIFF,.erf,[empty],[empty],[empty]
ERI,Entis Rasterized Image format,[empty],[empty],.eri,[empty],[empty],[empty]
Exif,Exchangeable Image File Format,[empty],[empty],.exif,[empty],[empty],[empty]
EVA,Extended Vector Animation,Sharp Corporation,[empty],.eva,application/x-eva,[empty],[empty]
EXR,OpenEXR,ILM,[empty],.exr,image/exr,Used in film effects for 3d rendering and hdr images.,?
Farbfeld,[empty],Laslo Hunhold,[empty],.ff,[empty],Very simple lossless bitmap format used for image processing.,No
FIF,Fractal Image Format,[empty],[empty],.fif,[empty],[empty],[empty]
FIG,FIG format,[empty],[empty],.fig,application/x-xfig,Supported by Xfig,[empty]
FITS,Flexible Image Transport System,[empty],[empty],.fit  .fits,[empty],Scientific (esp. astronomical) data acquisition,[empty]
FLA,Flash Source File,[empty],[empty],.fla,[empty],[empty],[empty]
FLIC,[empty],Autodesk,[empty],.fli  .flc  .flx  .flh  .flt,[empty],Supported by GIMP,[empty]
FLIF,Free Lossless Image Format,[empty],[empty],.flif  .flf,[empty],General-purpose lossless image compression  superior compression.,No
Kivio Document,[empty],[empty],.flw,[empty],Supported by Kivio,[empty],[added]
FPX,FlashPix (1.0.2),[empty],[empty],.fpx,image/vnd.fpx,[empty],[empty]
FreeHand,[empty],Adobe Systems,[empty],.fh4  .fh5  .fh7  .fh8  .fhc  .fh,image/x-freehand,[empty],[empty]
FutureSplash,[empty],Adobe Systems,[empty],.spl,application/futuresplash,[empty],[empty]
FXT,[empty],3DFX,[empty],.fxt,[empty],[empty],[empty]
GEGL composition,[empty],[empty],XML,.xml,application/xml,Used by GEGL,[empty]
Gerber Format,The Gerber Format Specification[7],Ucamco,Printable ASCII,.gbr,application/vnd.gerber,Printed Circuit Board or PCB software,No
GIF,Graphics Interchange Format,CompuServe  Unisys (compression algorithm),[empty],.gif  .gfa  .giff,image/gif,Supported by most web browsers. Supports transparency and animation.,Expired
GIMP brush,[empty],The GIMP Team,[empty],.gbr,[empty],Supported by GIMP,[empty]
GIMP compressed XJT image,[empty],The GIMP Team,JPEG  tar,.xjt  .xjtgz (compressed)  .xjtbz2 (compressed),None. Lossy format  not suitable for editing,Supported by GIMP,[empty]
GIH,Gimp image hose,The GIMP Team,[empty],.gih,[empty],Supported by GIMP,[empty]
GIMP patterns,[empty],The GIMP Team,[empty],.pat,[empty],Supported by GIMP,[empty]
GRA,[empty],[empty],[empty],.gra,[empty],Used by QSV and QLD.,[empty]
G3 Fax,[empty],[empty],[empty],.g3,[empty],Supported by GIMP,[empty]
Hasselblad 3FR RAW,[empty],[empty],TIFF,.3fr,[empty],[empty],[empty]
Hasselblad/Imacon FFF,[empty],[empty],[empty],.fff,[empty],[empty],[empty]
HEIF,High Efficiency Image Format,Motion Pictures Expert Group (MPEG),[empty],.heif  .heic,image/heif  image/heic  image/heic-sequence  image/heif-sequence,[empty],Yes
HDRi,[empty],[empty],TIFF,.tif  .tiff,image/tiff,[empty],[empty]
HG,Hyper Graphic Press,[empty],[empty],.hg,[empty],Supported by some old Japanese applications.,[empty]
ICER,[empty],NASA Mars Rovers,[empty],[empty],[empty],[empty],[empty]
IIQ RAW,Intelligent Image Quality RAW,Phase One,[empty],.iiq,[empty],[empty],[empty]
IMA,.ima,.ima team,[empty],.ima,[empty],Format for photographic images with HDR encoding.,No
IMG (GEM Paint),[empty],[empty],[empty],.img,[empty],Supported by GEM Paint,[empty]
IMG (ERDAS IMAGINE),ERDAS IMAGINE,ERDAS,Hierarchical File Architecture (HFA),.img,[empty],Image format used primarily with geo-referenced imagery  thematic grid data  and elevation grid data.,Yes
im4,[empty],Masahide Hirabayashi,[empty],.im4,[empty],[empty],[empty]
Inkscape SVG,[empty],The Inkscape Team,SVG,.svg  .svgz,image/svg+xml,Used by Inkscape,[empty]
ICO,ICO file format,Microsoft,[empty],.ico  .cur,image/vnd.Microsoft.icon  image/x-icon,Used by Microsoft Windows and web browsers as favicon,[empty]
ICS,Image Cytometry Standard,[empty],[empty],.ics  .ids,[empty],[empty],[empty]
IGES,Initial Graphics Exchange Specification,[empty],[empty],.igs,image/iges,CAD/CAM interoperability,No
ILBM,InterLeaved BitMap,Electronic Arts and Commodore Amiga,IFF,.iff  .ilbm  .lbm,image/x-ilbm,Planar graphics format designed for Amiga graphics hardware.,No
IPTC/NAA,IPTC/NAA,[empty],TIFF,[empty],[empty],[empty],[empty]
JBIG,[empty],Joint Bi-level Image Experts Group,[empty],.jbig  .bie  .jbg,[empty],[empty],[empty]
JBIG2,[empty],Joint Bi-level Image Experts Group,[empty],[empty],[empty],[empty],[empty]
JNG,JPEG Network Graphics,[empty],[empty],.jng,image/x-jng,[empty],No
JPEG,Joint Photographic Experts Group,Joint Photographic Experts Group,[empty],.jpg  .jpeg  .jpe (containers: .jif  .jfif  .jfi),image/jpeg,Photographic images. Supported by most web browsers.,Expired (see also Forgent#JPEG)
JPEG 2000,Joint Photographic Experts Group 2000,Joint Photographic Experts Group,[empty],.jp2  .j2c  .jpc  .j2k  .jpx,image/jp2,Photographic images  eventual replacement for JPEG.,Yes (no licence costs for part 1)
JPEG-LS,[empty],Joint Photographic Experts Group,[empty],.jls,[empty],[empty],[empty]
JPEG-HDR,[empty],Dolby Laboratories/BrightSide Technologies,JPEG,[empty],[empty],HDR format based on RGBE floating-point encoding and backward-compatible extensions to JFIF format; included in JPEG XT Part 2.,[empty]
