Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Camera focus at specified point,2.3+[382],Yes[74],Yes[383],10+,?,1.0.4.20+[384],Yes
Camera exposure metering from specified point,No [385] available on some phones.[386][387],Yes[388],8.1+[389],No,No,?,No
On device picture info (including Exif data),Only date and location; more with 3rd party software[390],Only date and location; more with 3rd party software[391],3rd party apps[392],Date and location[393],No,?,Yes
On device picture categorization,No[394] 3rd party software like TouchWiz[395],5+[396],Yes[397],Yes  photos can be renamed and searched,No,?,No
On device picture description and search,No[398],10+: Items/objects in picture;[399] 7+: Only date and location[400],Yes,Yes,No,?,No
Turn off shutter sound,In silent mode[401],In silent mode[402],7.5+[403],10.2+ - In silent mode[404],In silent mode,In silent mode[405],No
Picture crop,Yes,5+[406],8+[407],10+[408],No,Yes,Yes
Photo rotation,Yes,5+[406],8+[407],10+[408],No,Yes,Yes
Photo red-eye reduction,2.3+[409],5+[406],Yes 8.1+[410],10+[408],No,No[411],No
HDR photos option,4.2+  some manufacturers earlier[412],Yes[413],8.1+,10.1+[414],No,No[415],Yes
Photo/video import from memory cards,Yes,With Camera Connection Kit[376],Yes,Yes,Yes,Yes,Yes
Video trim,2.3+,Yes,8+[416],10+[417],No,?,No
