Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Proxy server,3.1+[474] but only global  not per connection[475] and only works for the browser[476] 3rd party apps available[477],Yes,Yes,Yes,Yes,Yes[478],No
On-device encryption,3+[479] but insecure on Qualcomm devices[480],Yes[481] (3rd party software may attempt brute-force attacks on password[482]),8+[483],Yes[484] (3rd party software may attempt brute-force attacks on password[482]),No,No[485],No
External storage encryption,6+[84],External storage not available,8.1+ Apps and data only[486],Yes[487],No,Yes,No
Zero knowledge encryption[488],No  data is accessible by Google[489] and shared with the American PRISM surveillance program.[490],No  data stored on iCloud is accessible by Apple[491] and shared with the American PRISM surveillance program.[490],No  data is accessible by Microsoft[492] and shared with the American PRISM surveillance program.[490],?,?,?,No
Privacy of synchronization[493],3rd party software like ownCloud[494],When synchronizing locally and not using iCloud,Partial  Contacts  Calendar and Mail can be kept private when using your own Exchange server or Office 365 own cloud instead of synchronizing with public cloud servers (that keeps data unencrypted)[495] for Photos and Office docs can be kept private when using your own Office 365 cloud or SharePoint [496] or synchronization of Phones can be disabled (by default).[497],When using your own BES instead of BlackBerry cloud BES (that keeps data unencrypted)[498],?,?,?
Sync to cloud communication encryption,2.3.4+[499],Yes[500],7.10.7720.0+[501],Yes[502],?,?,?
Wireless anti-tracking[503],3rd party software[504],8+[505],10+[506],No,No,?,No
Remote device location tracking,Yes[507],Yes[508],Yes[509],Yes,?,?,No
Remote device locking and/or data wipe,2.2+[510],Yes[508],Yes[509],Yes,?,?,No
End-to-end encrypted push notifications,Possible  notifications are handled by the app that can decrypt it[155],Possible since iOS 7  where the app can handle the notification and decrypt it[511],Possible  raw notifications are handled by the app that can decrypt it[512],?,?,?,Yes
SSH Client,Yes,Yes[513][514],Yes[515],Yes,?,Yes,Yes
VPN,Yes[516],Yes[517],8.1+[93],10+[518],?,Yes,Yes
OpenVPN,No  but possible with 3rd party firmware[519],Yes[520],No,No,?,Yes,Yes
WPA PEAP,Yes[521],Yes[522],Yes[523],Yes,?,In developer mode[524],Yes
