,Standalone executables creation support,Symbolic computation support,OOP support,GUI creation support,Multi-dimensional arrays as primitive data type,Centralized extension library website,Can call code in other languages,Can be called from other languages
Analytica,No,No,Yes,Yes,Yes,Yes,COM  Excel,Excel  COM  .NET
Dyalog APL,Yes[10],Yes,Yes[11],Win32  .NET  WPF  HTML/JS,Yes,Yes,COM  .NET  WebServices  Shared Libraries  DLLs  NAG  R  JavaScript[12],COM  .NET  WebServices[12]
GNU Data Language,No,No,Yes,GUI Widgets since v.0.9 but still incomplete,Yes,No,C  Python,Python
GNU MCSim,Yes,No,No,XMCSim with TCL/TK and wish,No,No,C,R
GNU Octave,Yes with mkoctfile,only with GiNaC extension,Yes[13],GUI Octave code can be used[14],Yes,Yes[15],C++  Fortran [16] Perl [17] Tcl[18],Java [19] Perl [17] C++[20]
J,No,Yes,Yes,Yes,Yes,Yes,JavaScript,JavaScript
Maple,No,Yes,Yes[31],Yes,Yes,Yes[32],C  C#  Fortran,MATLAB [33] Excel [34] VisualBasic  Java  and C[35]
MLAB,No,Yes,No,Yes,Yes,No,No,No
PDL,Yes[56],No,Yes[57],Yes[58],Yes,Yes[59],C via perlXS; C  Python  F77  etc. via Inline,Perl  C[60]
SageMath,No,Yes,Yes,No,Yes,Yes[69],Many languages[70][71][72],Yes (any language that can call Python)
TK Solver,with extension,No,Yes,with extension,Yes,Yes,.NET Excel,Unknown
