Name,License,Kernel type,Kernel programming language,Kernel thread support,OS family,Oldest non-EOL version[Note 1],Forks
Linux,GPL/LGPL,Monolithic with modules,C,1:1,Unix-like,2.6.32.61,No
FreeBSD,BSD; GPL  LGPL software usually included,Monolithic with modules,C,1:1,BSD  Unix-like,8.4,DragonFly BSD
OpenBSD,BSD,Monolithic,C,1:1,BSD  Unix-like,5.9,MirOS
NetBSD,BSD,Monolithic with modules,C,1:1,BSD  Unix-like,6.0,OpenBSD
DragonFly BSD,BSD,Hybrid,C,1:1,BSD  Unix-like,No,[empty]
OpenSolaris  illumos,CDDL,Monolithic with modules,C,1:1  M:N,Unix,No,[empty]
AuroraUX,BSD/CDDL,Monolithic with modules,C  Ada,1:1  M:N,Unix,No,[empty]
Darwin  OpenDarwin,APSL,Hybrid,C  C++[Note 2],1:1,BSD  Unix  Unix-like  OS X,No,[empty]
MINIX,BSD,Microkernel,C,[empty],Unix-like,No,[empty]
RedoxOS,MIT,Microkernel,Rust,[empty],Unix-like,No,[empty]
FreeRTOS,modified GPL,RTOS,C,[empty],RTOS,No,[empty]
FreeDOS,GPL,Monolithic,C,[empty],DOS,1.1,[empty]
Genode,AGPL,Microkernel,C++,1:1,Genode,[empty],[empty]
Haiku,MIT,Hybrid,C  C++,[empty],BeOS,No,TiltOS
House,BSD,[empty],Haskell,[empty],own/original,No,[empty]
KolibriOS,GPL,Monolithic,ASM,[empty],MenuetOS,No,[empty]
MenuetOS,Menuet 64  commerce excluded,Monolithic,ASM,[empty],own/original,No,KolibriOS
GNU,GPL,Multiserver Microkernel (Hurd kernel) or Monolithic (Linux-libre kernel  fork of Linux kernel  and other kernels which are not part of the GNU Project),C,1:1,Unix-like,2.4 on Linux-libre kernel (not on Hurd kernel),Linux
ReactOS,GPL  LGPL,Hybrid,C  C++,[empty],Windows-like,No,[empty]
L4  Fiasco  Pistachio,Some GPL  some BSD,Microkernel,C++,[empty],L4,No,[empty]
Plan 9,LPL,Hybrid,C,1:1  1:M Cothread style.,own  Unix informed,No,Inferno  Plan B
AROS,APL,Exokernel,C,[empty],AmigaOS,No,[empty]
Syllable,GPL,Monolithic with modules,C  C++,1:1,Unix-like  BeOS  AmigaOS  POSIX,No,[empty]
Inferno,GPL  LGPL; MIT,[empty],C,[empty],Plan 9,No,OzInferno
NuttX,BSD,RTOS,C,[empty],RTOS,No,[empty]
eCos,modified GPL  eCos,RTOS,C  C++,[empty],RTOS,No,[empty]
RTEMS,modified GPL  BSD  Stanford,RTOS,C and ASM with native support for other languages including C++ and Ada,POSIX  RTEID/ORKID  uITRON,RTOS,4.7.1,[empty]
HelenOS,BSD,Microkernel,C,M:N,own/original,No,[empty]
E/OS,GPLv2,Monolithic,ASM  C,1:1,BeOS  Unix-like,No,[empty]
TempleOS,public domain,Monolithic,HolyC  C  C++,[empty],Commodore 64-like,No,[empty]
Name,License,Kernel type,Kernel programming language,Kernel thread support,OS family,Oldest non-EOL version,Forks
