Driver,Chipset,Integration,Free firmware[note 2],License,Original/Primary developer,Development,Free software[note 3]
acx,Texas Instruments ACX100/ACX111,Integrated,No[44],BSD,Ported from DragonFlyBSD,Reverse engineering,Yes
an,Aironet 4500/4800  Cisco Aironet 340/350,Integrated,N/A,BSD,[empty],[empty],Yes
ath,Atheros AR5210/ AR5211/ AR5212,Integrated,N/A[3],BSD,[empty],Reverse engineering,Yes
athn,Atheros AR5416/AR9160/AR928X,Integrated (since 4.7),Yes[45],BSD,Damien Bergamini,Partly based on the ath9k driver for Linux,Yes
atu,Atmel AT76C503/ AT76C503A/ AT76C505/ AT76C505A,Integrated,Yes[46],BSD,[empty],Reverse engineering,Yes
atw,ADMtek ADM8211,Integrated,N/A,BSD,[empty],Documentation based,Yes
awi,BayStack 650,2.7 to 4.3,N/A,BSD,[empty],[empty],Yes
bwi,Broadcom BCM430x/4318,Integrated,No,BSD,Sepherosa Ziehau,Ported from DragonFly BSD,Yes
cnw,NetWave AirSurfer,2.6 to 6.0,N/A,BSD,[empty],[empty],Yes
ipw,Intel PRO/Wireless 2100,Integrated,No[47],BSD,Damien Bergamini,Reverse engineering,Yes
iwi,Intel PRO/Wireless 2200BG/ 2225BG/ 2915ABG,Integrated,No[48],BSD,Damien Bergamini,Reverse engineering,Yes
iwn,Intel Wireless WiFi Link 4965/ 5000/ 1000/ 6000,Integrated,No[49],BSD,Damien Bergamini,Reverse engineering,Yes
iwm,Intel Wireless WiFi Link 3160ac/ 7260ac/ 7265ac,Integrated (since 5.8),No[50],BSD,Antti Kantee [51] Stefan Sperling,Based on iwn  and iwlwifi driver released by Intel for Linux under dual GPLv2/BSD license[52],Yes
malo,Marvell 88W8335/ 88W8310,Integrated,No[53],BSD,Marcus Glocker and Claudio Jeker,Reverse engineering[54],Yes
otus,Atheros AR9170,Integrated (since 4.6),No[55],BSD,Damien Bergamini,Based on source code released by Atheros for Linux under the ISC,Yes
pgt,Conexant/Intersil Prism GT Full-MAC ISL3877  ISL3880  and ISL3890 chips,Integrated,No[56],BSD,Ported from FreeBSD,Reverse engineering[57],Yes
ral/ural,Ralink RT2500  RT2501  RT2600  RT2700  RT2800  RT3090  RT3292  RT3592 and RT5390 (ral)  RT2500USB (ural),Integrated,Yes[58],BSD,Damien Bergamini,Documentation based,Yes
ray,Raytheon Raylink/WebGear Aviator IEEE 802.11FH,2.7 to 5.4,N/A,BSD,[empty],[empty],Yes
rsu,Realtek RTL8188SU/RTL8191SU/RTL8192SU,Integrated (since 4.9),No,BSD,Damien Bergamini,Reverse engineering,Yes
rtw,Realtek RTL8180L,Integrated,N/A,BSD,Ported from NetBSD,Documentation based,Yes
rtwn,Realtek RTL8188CE/RTL8192CE,Integrated,No[59],BSD,Stefan Sperling,Based on urtwn driver.,Yes
rum,Ralink RT2501USB/ RT2601USB,Integrated,Yes[41],BSD,Niall O'Higgins and Damien Bergamini,Documentation based,Yes
run,Ralink RT2700U/ RT2800U/ RT3000U,Integrated,Yes[41],BSD,Damien Bergamini,Documentation based,Yes
uath,Atheros AR5005UG/ AR5005UX,Integrated,No[60],BSD,Damien Bergamini,Reverse Engineering[57],Yes
upgt,GW3887 (Conexant/Intersil PrismGT series),Integrated,No[61],BSD,Marcus Glocker,Reverse engineering,Yes
urtw,Realtek RTL8187L,Integrated,N/A,BSD,Weongyo Jeong (FreeBSD),?,Yes
urtwn,Realtek RTL8188CU/RTL8192CU,Integrated (since 4.9),No,BSD,Damien Bergamini,Reverse engineering,Yes
wi,Lucent Hermes (WaveLAN/ ORiNOCO); Intersil PRISM-2  PRISM-2.5  PRISM-3; Symbol Spectrum24,Integrated,Yes for Spectrum24[62] and N/A for others,BSD,Bill Paul,Documentation based,Yes
wpi[63],Intel PRO/Wireless 3945ABG,Integrated,No[64],BSD,Damien Bergamini,Reverse engineering,Yes
zyd,ZyDAS ZD1211/ZD1211B,Integrated,Yes[65],BSD,Florian Stoehr  Damien Bergamini  and Jonathan Gray,Documentation based,Yes
