Name,FM radio,Microphone,Line-in recording,DVR recording,Playback while charging,USB host,HDMI out
Archos 105,No,No,No,No,Unknown,[empty],[empty]
Archos 405,No,No,No,Yes,Unknown,[empty],[empty]
Archos 5,With FM remote,With FM remote,With dock,With DVR dock,With dock,[empty],[empty]
Archos 605 WiFi / GPS,No,No,No,Yes,Yes,[empty],[empty]
Archos 705 WiFi,No,No,No,Yes,Unknown,[empty],[empty]
Cowon A3,Yes,Yes,Yes,No,Unknown,Yes,[empty]
Cowon D2,Yes,Yes,Yes,No,Yes,[empty],[empty]
Cowon Q5W,Yes,Yes,No,No,Unknown,[empty],[empty]
Gigabeat T-Series,No,No,Yes,No,Unknown,[empty],[empty]
GP2X F-200,No,No,No,No,Unknown,[empty],[empty]
iPod,Nano generations 5 & 6 only,Yes,No,No,Yes,[empty],iPod Touch only
iriver clix 2G,Yes,Yes,No[98],No,Unknown,[empty],[empty]
PSP 1000 Series,No,No,No,No,Yes,[empty],[empty]
PSP Slim & Lite 2000 Series,No,Accessory only,No,No,Yes,[empty],[empty]
PSP Slim & Lite 3000 Series,No,Yes,No,No,Yes,[empty],[empty]
Samsung Galaxy Player,Yes,Yes,No,No,Yes,No,Korean version only
Samsung T10,Yes,Yes,No,No,Power only; no data[99],[empty],[empty]
Samsung P2,Yes,Yes,No,No,Power only; no data[99],[empty],[empty]
Sansa Fuze,Yes,Yes,No,No,Power only; no data[99],[empty],[empty]
Sansa Fuze+,with pause and record,Yes,No,No,Power only; no data[99],[empty],[empty]
Sansa View,Yes,Yes,No,No,Power only; no data[99],[empty],[empty]
Walkman NWZ-A810 series,No,No,No,No,Yes,[empty],[empty]
ZEN,Yes,Yes,No,No,Yes,[empty],[empty]
ZEN Vision W,Yes,Yes,No,No,Power only; no data[99],[empty],[empty]
Zune,Yes (also on HD Radio),No,No,No,Yes,[empty],Yes  Zune HD
Zvue 260,No,No,No,No,No,[empty],[empty]
