[empty],RAW imports,BMP,GIF,JPEG,JPEG 2000,HD Photo,PNG,TIFF,PSD,PSP,XCF,PCX,ORA,HEIF
Ability Photopaint,?,Yes,Yes,Yes,No,[empty],Yes,Yes,Yes,No,No,?,[empty],[empty]
ACD Canvas,?,Yes,Yes,Yes,No,[empty],Yes,Yes,Yes,Yes,No,?,[empty],[empty]
ACDSee (Win),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?,?,?,[empty]
Acorn Image Editor,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?,?,?,[empty],[empty]
Adobe Fireworks*,?,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Yes,No,No,[empty],[added],[added]
Adobe Photoshop,Yes,Yes,Yes,Yes,Via plug-in[29],Yes,Yes,Yes,Yes,No,No,Yes,[empty],[empty]
Adobe Photoshop Lightroom,Yes,No,Via plug-in[30],Yes,Via plug-in[31],No,Via plug-in[30],Yes,Partial[32],?,?,?,[empty],[empty]
Affinity Photo,Yes,?,Yes,Yes,No,?,Yes,Yes,Yes,No,No,No,No,[empty]
Autodesk SketchBook Pro,?,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Yes,No,No,No,[empty],[empty]
Artipic,Yes,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Partial,No,No,Yes,[empty],[empty]
ArtRage,?,Yes,Yes,Yes,No,[empty],Yes,Yes,Yes,No,No,?,[empty],[empty]
Artweaver,No,Yes,Yes,Yes,Partial,[empty],Yes,Yes,Partial,No,No,Yes,[empty],[empty]
Bibble*,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,[empty],[empty]
Brush Strokes Image Editor,?,Yes,Yes,Yes,No,[empty],Yes,Yes,No,No,No,?,[empty],[empty]
Capture One,Yes,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Yes,?,?,?,[empty],[empty]
Chasys Draw IES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,[empty]
CinePaint,Yes,Yes,Yes,Yes,No,[empty],Yes,Yes,Partial,No,Yes,?,[empty],[empty]
CodedColor PhotoStudio Pro,?,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Yes,No,No,Yes,[empty],[empty]
Corel PaintShop Pro,Yes,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Partial[33],Yes,No,Yes,[empty],[empty]
Corel Painter,?,Yes,Yes,Yes,No,[empty],No,Yes[34],Yes,Yes,No,Import,[empty],[empty]
Corel Photo-Paint,Yes,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Yes,Yes,No,Yes,[empty],[empty]
darktable,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,[empty],[empty]
Deluxe Paint*[35],No,?,Yes,Yes,No,[empty],Yes,No,No,No,No,?,[empty],[empty]
DigiKam,Yes,Yes,Yes,Yes,Yes,[empty],Yes,Yes,No,No,Yes,?,[empty],[empty]
Erdas Imagine,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Import,[empty],[empty]
Fatpaint,No,No,No,Yes,No,No,Yes,No,No,No,No,No,[empty],[empty]
Fotografix,Partial,Yes,Yes,Yes,No,No,Yes,Yes,Import only,No,Import only,Import only,[empty],[empty]
GIMP,Yes,Yes,Yes,Yes,Yes[36],Via plug-in[37],Yes,Single page only,Yes,Yes,Yes,Yes,Yes,[empty]
GIMPshop,?,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,[empty],[empty]
GrafX2,No,Yes,Yes,Import only,No,No,Yes,Import only,No,No,No,Yes,[empty],[empty]
GraphicConverter,Partial[38],Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes[39],Yes,[empty],[empty]
HDR PhotoStudio,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,[empty],[empty]
Helicon Filter,Yes,Yes,Import,Yes,Yes,No,Yes,Yes,Yes,No,No,No,[empty],[empty]
ImageMagick,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,[empty],[empty]
iPhoto*,Yes,?,?,Yes,?,No,Yes,Yes,Yes,?,?,Yes,[empty],[empty]
IrfanView,Via plug-in,Yes,Yes,Yes,Via plug-in,Via plug-in,Yes,Yes,Yes,Yes,No,[empty],[added],[added]
Iridient Developer,Yes,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Yes,?,?,?,[empty],[empty]
Kolourpaint,?,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Import,Yes,[empty],[empty]
Krita,Yes,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Yes,No,Yes,Import,Yes,[empty]
LiveQuartz,Partial,Yes,Yes,Yes,Yes,No,Yes,Yes,Partial,?,?,?,?,Yes
LazPaint,[empty],Yes,Yes,Yes,[empty],[empty],Yes,[empty],[empty],[empty],[empty],[empty],Yes,[empty]
MacPaint*,No,?,No,No,No,No,No,No,No,No,No,No,[empty],[empty]
Microsoft Office Picture Manager*,?,Yes,Yes,Yes,No,[empty],Yes,First page only[40],No,No,No,Yes,[empty],[empty]
Microsoft Paint,No,Yes,Partial[41],Yes,No,No,Partial[41],Yes,No,No,No,No,[empty],[empty]
Microsoft Photo Editor*,No,Yes,Yes,Yes,No,[empty],Yes,No,No,No,No,Import,[empty],[empty]
OpenCanvas,?,Yes,No,Yes,No,No,Yes,No,Yes[42],No,No,?,[empty],[empty]
Paint.NET,Yes,Yes,Yes,Yes,Yes,Yes[43],Yes,Via plug-ins[44],Partial,No,No,Yes,[empty],[empty]
PC Paintbrush*,?,No,Yes,No,No,[empty],No,Yes,No,No,No,Yes,[empty],[empty]
