Application,Latest release date <br />and version,Developed by,Platforms,Mainly Used For,License
3ds Max,2018-03-22 <br />v 2019,Autodesk,Microsoft Windows,Modeling  Animation (Video Games)  Lighting  Rendering,[empty]
AC3D,2016-12-? <br />v 8,Inivis,Linux  Mac OS X  Microsoft Windows,Modeling,[empty]
Alibre Design,2018-07-16 <br />v 2018,Alibre  LLC,Microsoft Windows,Computer Aided Design,[empty]
AutoCAD,2018-09-10 <br />v 2019.1.2,Autodesk,Mac OS X  Microsoft Windows,2D Computer Aided Design  3D Modeling  Basic Rendering  Rudimentary Animation (of Camera  not objects),[empty]
Blender,2017-11-09<br />v 2.79b,Blender Foundation,Microsoft Windows  Mac OS X  Linux  BSD  Solaris  AmigaOS 4  MorphOS,2D/3D toon Animation  Lighting  Modeling  Node based Material Creation / Texturing / 3D Texture Painting/ UV Mapping  Rendering (Internal  External  3D Anaglyph and VR)  3D Rigging and Animation  Sculpting  Video Game Creation and Player  Visual 3D Effects  Basic Post-Production Video Editing  Motion Tracking  Python Scripting  Fluid Simulation  Particles  Physics  Compositing,<ref>http://www.blender.org/about/license/</ref>
Carrara,2013-08-26 <br />8.5.1.19,DAZ 3D,Microsoft Windows  Mac OS X,Animation  Modeling,[empty]
Cheetah 3D,2017-12-07<br />v 7.1,Dr. Martin Wengenmayer,Mac OS X,Animation  Modeling,[empty]
Cinema 4D,2018-09-11<br />R20,MAXON,Mac OS X  Microsoft Windows  Amiga OS<ref>Cinema 4D</ref>,Animation  Lighting  Modeling  Visual 3D Effects  Rendering  Simulation,[empty]
CityEngine,2018-09-18 <br />v 2018.1,Procedural,Mac OS X  Microsoft Windows  Linux,Procedural Modeling of 3D Cities,[empty]
Clara.io,redesigned in 2015-03-31,Exocortex,Mozilla FireFox  Google Chrome  Microsoft Internet Explorer,Modeling  Animation  Rendering,[empty]
Cobalt,?-?-?<br />v9 SP2r3,Ashlar-Vellum,Mac OS X  Microsoft Windows,Modeling  Computer Aided Design  Animation,[empty]
DesignSpark Mechanical,2018-11-13<br />v4.0,SpaceClaim  RS Components,Microsoft Windows,Modeling  Computer Aided Design  Rapid Prototyping  3D Printing,[empty]
Electric Image Animation System,2013-06 <br />v9.1.0,EIAS3D,Mac OS X  Microsoft Windows,Animation  Lighting  Rendering  Film  Television  Visual 3D Effects,[empty]
form-Z pro/jr/free,2017-12-? <br />8.6 WIP,autodessys  Inc.,Mac OS X  Microsoft Windows,Animation  Modeling  Lighting  Render  Fabrication  Set Design,[empty]
