Name,Windows,Mac OS X,Linux,Unix,BSD,Other
3ds Max,[empty],[empty],[empty],[empty],[empty],[empty]
AC3D,[empty],[empty],[empty],[empty],[empty],[empty]
Art of Illusion,[empty],[empty],[empty],[empty],[empty],[empty]
AutoCAD,[empty],[empty],[empty],[empty],[empty],[empty]
Blender,[empty],[empty],[empty],[empty],[empty],[empty]
Carrara,[empty],[empty],[empty],[empty],[empty],[empty]
Cheetah 3D,[empty],[empty],[empty],[empty],[empty],[empty]
Cinema 4D,[empty],[empty],[empty],[empty],[empty],[empty]
Clara.io,[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added]
DesignSpark Mechanical,[empty],[empty],[empty],[empty],[empty],[empty]
Electric Image Animation System,[empty],[empty],[empty],[empty],[empty],[empty]
form-Z,[empty],[empty],[empty],[empty],[empty],[empty]
HiCAD,[empty],[empty],[empty],[empty],[empty],[empty]
Houdini,[empty],[empty],[empty],[empty],[empty],[empty]
IClone,[empty],[empty],[empty],[empty],[empty],[empty]
LightWave 3D,[empty],[empty],[empty],[empty],[empty],[empty]
MakeHuman,[empty],[empty],[empty],[empty],[empty],[empty]
Massive,[empty],[empty],[empty],[empty],[empty],[empty]
Maya,[empty],[empty],[empty],[empty],[empty],[empty]
Metasequoia,[empty],[empty],[empty],[empty],[empty],[empty]
Modo,[empty],[empty],[empty],[empty],[empty],[empty]
POV-Ray,[empty],[empty],[empty],[empty],[empty],[empty]
Remo 3D,[empty],[empty],[empty],[empty],[empty],[empty]
Shade,[empty],[empty],[empty],[empty],[empty],[empty]
Silo,[empty],[empty],[empty],[empty],[empty],[empty]
SketchUp Make,[empty],[empty],[empty],[empty],[empty],[empty]
SketchUp Pro,[empty],[empty],[empty],[empty],[empty],[empty]
Softimage,[empty],[empty],[empty],[empty],[empty],[empty]
Solid Edge,[empty],[empty],[empty],[empty],[empty],[empty]
solidThinking,[empty],[empty],[empty],[empty],[empty],[empty]
solidWorks,[empty],[empty],[empty],[empty],[empty],[empty]
SpaceClaim,[empty],[empty],[empty],[empty],[empty],[empty]
TopSolid,[empty],[empty],[empty],[empty],[empty],[empty]
trueSpace,[empty],[empty],[empty],[empty],[empty],[empty]
Verto Studio 3D,[empty],[empty],[empty],[empty],[empty],[empty]
E-on Vue,[empty],[empty],[empty],[empty],[empty],[empty]
Wings 3D,[empty],[empty],[empty],[empty],[empty],[empty]
ZBrush,[empty],[empty],[empty],[empty],[empty],[empty]
