Other software,Encryption,IPv6,Plugin  extendable,Hash algorithms,ADC support,Other
ADCCore,[empty],[empty],[empty],Tiger tree hash,TIGR  ADCS,[empty]
DCBouncer,[empty],[empty],[empty],Tiger tree hash,Any clients  hubs,[empty]
DC-Hublink,[empty],[empty],[empty],Tiger tree hash,TIGR,[empty]
DCWatch,[empty],[empty],Java  Lua,Tiger tree hash,TIGR  ADCS,[empty]
Embla,[empty],[empty],[empty],Tiger tree hash,TIGR,[empty]
FlowLib,[empty],[empty],[empty],Tiger tree hash,TIGR,[empty]
NetChatLink,[empty],[empty],[empty],Tiger tree hash,TIGR,[empty]
Announcer Bot,[empty],[empty],[empty],[empty],ADCS  OSNR,only Luadch supports OSNR
Other software,Encryption,IPv6,Plugin  extendable,Hash algorithms,ADC support,Other
