ADC client,Magnet URI,UPnP,NAT traversal,DHT,Encryption,IPv6,Plugin/API,Proxy,Hash algorithms,Protocol support,NMDC compatible,Other
AirDC++,[empty],[empty],[empty],[empty],[empty],[empty],Web API,[empty],Tiger tree hash,TIGR  ADCS  UCMD NATT  SEGA  PFSR  KEYP  PBD1  UBN1  MCN1  BLOM  SUDP  QP  HBRI  ASCH,[empty],[empty]
AirDC++ Web Client,[empty],[empty],[empty],[empty],[empty],[empty],Web API,[empty],Tiger tree hash,Inherits from AirDC++,[empty],[empty]
ApexDC++,[empty],[empty],[empty],[empty],[empty],[empty],C++  Lua,[empty],Tiger tree hash,Inherits from StrongDC++,[empty],[empty]
DC++,[empty],[empty],[empty],[empty],[empty],[empty],C++  Lua,[empty],Tiger tree hash,TIGR  ADCS  UCMD  BLOM  NATT  SEGA,[empty],[empty]
jucy,[empty],[empty],[empty],[empty],[empty],[empty],Eclipse RCP,[empty],Tiger tree hash,TIGR  ADCS  KEYP  SUDP  BLOM  UCMD,[empty],[empty]
LinuxDC++,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Tiger tree hash,Inherits from DC++,[empty],[empty]
EiskaltDC++,[empty],[empty],[empty],[empty],[empty],[empty],Lua  QtScript  QML,[empty],Tiger tree hash,TIGR  ADCS  UCMD  BLOM  NATT  SEGA  PFSR  KEYP  FS,[empty],[empty]
FlylinkDC++,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Tiger tree hash,Inherits from StrongDC++,[empty],[empty]
RSX++,[empty],[empty],[empty],[empty],[empty],[empty],C++  Lua,[empty],Tiger tree hash,Inherits from StrongDC++,[empty],[empty]
TKDC++,[empty],[empty],[empty],[empty],[empty],[empty],C++  Lua,[empty],Tiger tree hash,TIGR  ADCS  UCMD  BLOM  NATT  PFSR  SEGA,[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
StrongDC++,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Tiger tree hash,TIGR  ADCS  UCMD  BLOM  NATT  PFSR  QP  SEGA,[empty],[empty]
ncdc,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Tiger tree hash,TIGR  ADCS  KEYP  SUDP,[empty],[empty]
ADC client,Magnet URI,UPnP,NAT traversal,DHT,Encryption,IPv6,Plugin,Proxy,Hash algorithms,Protocol support,NMDC compatible,Other
