BitTorrent client,Cache <ref name="cache" group=Note>Reduces disk usage  file fragmentation (in case it is not preallocated) and latencies via larger written blocks and cached data for hash checking finished pieces.</ref>,Hash Web seeding,HTTP Web seeding,Broad-catching (RSS),Prioritization,Selective downloads,Sequential downloading,SOCKS,Tracker exchange <ref name="tex">Tracker exchange spec: BEP 28</ref>,Remote control via web,Search engine,Auto updates,Reviews and Comments,Notes
ABC,,,,,,,,,,,Separate download,,,
Acquisition,,,,,,,,,,,,,,3 torrents max  infinite when registered
BitComet,,,<ref>Supports the Getright Webseeding spec since v1.14  see BitComet Wiki</ref>,,,,<ref group=Note>Called "preview mode"</ref>,,,,,,,Portable version available
BitLet,,,,,,,,,,,,,,
BitLord,,,,,,,,,,,,,,
BitTornado,,,,,,,,,,,,via PMS,,
BitTorrent 5  Mainline,,,,,,,,,,,,,,
BitTorrent 6,,,,,,,,,,,,,,
BitTyrant,,<ref name="getrightseed">Supports the Getright Webseeding spec in addition to the Bittornado spec </ref>,,Plugin,,,,,,Plugin<ref name="azweb" group=Note>Provides a Java-based and a simple HTML/JS based WebUI.</ref>,,,,Upload priority optimized according to a series of research papers
Blog Torrent,,,,,,,,,,,,,,
Deluge,,,,Plugin,,,,,,,,via PMS,,
FlashGet,,,,,,,,,,,,,,FlashGet (standalone application) is not FlashGot (Firefox Addon)
Free Download Manager,,,,,,,,,,,,,,
KTorrent,,,,,,,,,,,,via PMS,,
LimeWire,,,,,,,,,,,,,,
Meerkat Bittorrent Client,,,,,,,,,,,,,,
MLDonkey,,,,,,,,<ref>See task #4401 SOCKS proxy; however  http proxy is supported.</ref>,,,,via PMS,,
µTorrent,,<ref></ref>,,<ref></ref>,<ref></ref>,,<ref group=Note>From version 3.0 this feature is called "Streaming mode". The number of pieces to download sequentially is configurable</ref>,,,,,,,
OneSwarm,,,,,,,,,,,,,,has all BitTyrant features
Opera 12,,,,,,,,,,,,,,Web browser
qBittorrent,,,,,,,,,,,,via PMS,,
rTorrent,,,,,,,,,,,,via PMS,,No built-in disk cache but a delayed sync
Shareaza,,,,,,<ref group=Note>Since Shareaza v2.4.0.2 r7924.</ref>,,,<br /><ref group=Note>Since Shareaza v2.5.3.1.</ref><ref></ref><ref group=Note>Shareaza also uses G2 to transmit download metadata  such as BitTorrent trackers to other G2 clients.</ref>,,,,,<ref group=Note name=Shareaza />
SymTorrent,,,,,,,,,,,,,,BitTorrent client for cell phones
Tixati,,,,,,,,,,,,,
Tomato Torrent,,,,,,,,,,,,,,supports AppleScript
Tonido,,,,,,,,,,,,,,
TorrentFlux,,,,,,,,,,,,,,
Transmission,,,<ref name="bep19_webseeding__adds_http_referer_header_on_redirection" group=Note>Adds HTTP referer header in request on HTTP redirection (useful behavior).</ref>,,,,<ref>unofficial build transmission daemon cygwin </ref><ref>unofficial build cfpp2p GitHub transmission </ref>,,,,,,,
Tribler,,,,,,,,,,,(DHT)<ref>https://www.tribler.org/faq.html</ref>,,,Fully distributed keyword search; integrated anti-spam measures<ref></ref>
Vuze (formerly Azureus),,,<ref name="getrightseed" />,,,,in paid version <ref>Play Now feature on official page</ref>,,,Plugin<ref name="azweb" group=Note />,,,<ref>Additional Vuze Features on VuzeWiki</ref>,The only client to bridge between i2p and the clearnet.
Xunlei,,,,,,,,,,,,,,
BitTorrent client,Cache,Hash Web seeding,HTTP Web seeding,Broad-catching (RSS),Prioritization,Selective downloads,Sequential downloading,SOCKS,Tracker exchange,Remote control via web,Search engine,Auto updates,Reviews and Comments,Notes
