Server name,License,Programming language,RFC 2616 HTTP/1.1,RFC 2617 HTTP,RFC 2518 WebDAV,RFC 3253 WebDAV,RFC 3744 WebDAV ACL,RFC 4324 iCal,RFC 4331 WebDAV quota,RFC 4709 WebDAV mount,RFC 4791 CalDAV,RFC 4918 WebDAV,RFC 5397 WebDAV current principal,RFC 5546 iCal (Group Scheduling),RFC 5689 WebDAV MKCOL,RFC 5995 WebDAV POST add member,RFC 6352 CardDAV vCard,RFC 6578 WebDAV,RFC 6638 CalDAV (Auto-Schedule),RFC 7529 iCal,RFC 7540 HTTP/2,RFC 7809 CalDAV time zones by,RFC 7953 iCal,[http://www.calconnect.org/pubdocs/CD0903%20Freebusy%20Read%20URL.pdf Free-busy URL]
Baïkal<ref></ref><ref>Baïkal iCal export</ref>,,PHP,,,,,,,,,,,,,,,,,,,,,,,
Bedework<ref>Bedework overview</ref>,,Java,,,,,,,,,,,,,,,,,,,,,,,
Calendar and Contacts Server<ref>Calendar and Contacts Server guiding standards</ref>,,Python,,,,,,,,,,,,,,,,,,,,,,,
Calypso<ref>Calypso</ref>,,Python,,,,,,,,,,,,,,,,,,,,,,,
Cyrus IMAP<ref>Cyrus IMAP project home</ref>,,C,,,,,,,,,,,,,,,,,,,,,,,
DAViCal<ref>DAViCal RFC Compliance</ref>,,PHP,,,,,,,,,,,,,,,,,,,,,,,
DavMail<ref>DavMail project home</ref>,,Java,,,,,,,,,,,,,,,,,,,,,,,
Fennel<ref>Fennel on GitHub</ref>,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Group-Office<ref>Group-Office website</ref>,,PHP,,,,,,,,,,,,,,,,,,,,,,,
Horde Groupware,OSS,PHP,,,,,,,,,,,,,,,,,,,,,,,
Nextcloud<ref>Nextcloud home</ref>,,PHP,,,,,,,,,,,,,,,,,,,,,,,
Open Xchange,, CC,Java  JavaScript,,,,,,,,,,,,,,,,,,,,,,,
ownCloud<ref>ownCloud home</ref>,,PHP,,,,,,,,,,,,,,,,,,,,,,,
Radicale<ref></ref>,,Python,,,,,,,,,,,,,,,,,,,,,,,
SabreDAV<ref>SabreDAV Supported RFC's</ref>,,PHP,,,,,,,,,,,,,,,,,,,,,,,
Xandikos<ref>Xandikos</ref>,,Python,,,,,,,,,,,,,,,,,,,,,,,
Zarafa,,PHP,,,,,,,,,,,,,,,,Read only,,,,,,,
Zentyal<ref>Zentyal Community Edition official Site</ref>,,Perl,,,,,,,,,,,,,,,,,,,,,,,
Zimbra,,Perl,,,,,,,,,,,,,,,,,,,,,,,
