Server,Authoritative,Recursive,Recursion ACL,Slave mode,Caching,DNSSEC,TSIG,IPv6,Wildcard,Free Software,Interface,split horizon
AnswerX,,,,,,,,,,,API  command line,
BIND,,,,,,,,(since 9.x),(since 4.x),,Web  command line,
PowerDNS,,,,,,(since 3.0),(since 3.0),,,,REST  Web  command line,
djbdns,,,,,,,,via generic records. http://www.fefe.de/dns/,,,command line and web (VegaDNS & NicTool)<ref> </ref>,
dbndns,,,,,,,,,,,command line and web,
pdnsd,,,,,,<ref> "no support for the DNSSEC protocol itself yet in pdnsd"</ref>,,,,,command line  pdnsd-ctl program,
MaraDNS,,,,,,,,,,,command line,
Posadis,,,,,,,,,,,command line  API,
Unbound,,,,,,,,,,,command line  API,
Dnsmasq,,,,,,(since 2.69),,,,,command line,
NSD,,,,,,,,,,,command line,
Knot DNS,,,,,,,,,,,command line,
dnrd,,,,,,,,,,,command line,
gdnsd,,,,,,,,,,,command line,
YADIFA,,,,,,,,,,,command line,
yaku-ns,,,,,,,,,,,command line,
Microsoft DNS,,,,,,,,,,,GUI  command line  API  WMI  RPC,
Simple DNS Plus,,,,,,,,,,,GUI  Web  command line,
Nominum ANS,,,,,,,,,,,command line  api  SOAP Interface  SNMP,
Nominum Vantio,,,,,,,,,,,command line  api  SOAP Interface  SNMP,
DNS Blast,,,,,,,,,,,CLI  SOAP  REST  SNMP  DNSTAP,
Secure64 DNS Authority,,,,,,,,,,,Command Line or Web GUI,
Secure64 DNS Cache,,,,,,,,,,,Command Line or Web GUI,
Technitium DNS Server,,,,,,,,,,,Command Line  Web GUI  or REST API,
Server,Authoritative,Recursive,Recursion ACL,Slave mode,Caching,DNSSEC,TSIG,IPv6,Wildcard,Free Software,Interface,split horizon
