Title,Publisher,First published,Latest edition,Year,Pages,Entries (approx.) ! Main dialect,Pronunciation guide
American Heritage Dictionary (AHD),Houghton Mifflin Harcourt,1969,5th (),2011,[empty],[empty],American
The Chambers Dictionary,Chambers Harrap Publishers,1872,13th (),2014,[empty],<ref></ref>,British
Collins English Dictionary,HarperCollins Publishers,1979,12th (),2014,[empty],[empty],British
Concise Oxford English Dictionary (COED),Oxford University Press,1911,12th (),2011,[empty],[empty],British
New Oxford American Dictionary (NOAD),Oxford University Press,2001,3rd (),2010,[empty],[empty],American
Oxford Dictionary of English,Oxford University Press,1998,3rd (),2010,[empty],[empty],British
Oxford English Dictionary (OED),Oxford University Press,1895,2nd (20 vols.  ),1989,[empty],[empty],British
Random House Webster's,Random House,1966,2nd (rev.  ),2002,[empty],[empty],American
Shorter Oxford English Dictionary (SOED),Oxford University Press,1933,6th (2 vol.  ),2007,[empty],[empty],British
Webster's Third New International Dictionary (W3),Merriam-Webster,1961,3rd (),2002,[empty],[empty],American
