Client,Windows,macOS,Linux,BSD,Unix,AmigaOS,ChromeOS
AbsoluteTelnet,,,,,,,
ALFTP,,,,,,,
Beyond Compare,,,,,,,
Classic FTP,,,,,,,
Codeanywhere (webbased),,,,,,,
Commander One,,,,,,,
CoreFTP,,,,,,,
CrossFTP,,,,,,,
cURL (CL),,,,,,,
CuteFTP,,,,,,,
Cyberduck,,,,,,,
Directory Opus,,,,,,,
ExpanDrive,,,,,,,
FAR Manager,,,,,,,
Fetch,,,,,,,
FileZilla,,,,,,,
FireFTP,,,,,,,
FlashFXP,,,,,,,
Fling FTP,,,,,,,
ForkLift,,,,,,,
Client,Windows,Mac OS X,Linux,BSD,Unix,AmigaOS,ChromeOS
FTP Client,,,,,,,
FTP Commander,,,,,,,
FTP Explorer,,,,,,,
FTP Voyager,,,,,,,
Fugu,,,,,,,
gFTP,,,,,,,
Interarchy,,,,,,,
LeechFTP,,,,,,,
lftp (CL),(cygwin),,,,,,
Macfusion,,,,,,,
mimiFTP,,,,,,,
Monsta FTP,,,,,,,
Mosaic,,,,,,,
NcFTP (CL),,,,,,,
net2ftp (web-based),,,,,,,
pbFtpClient,,,,,,,
PSFTP (PuTTY) (CL),,,,,,,
RaiDrive,,,,,,,
Robo-FTP,,,,,,,
Secure FTP,,,,,,,
SmartFTP,,,,,,,
Steed,,,,,,,
Sysax FTP Automation,,,,,,,
Total Commander,,,,,,,
Transmit,,,,,,,
WebDrive,,,,,,,
WinSCP,,,,,,,
WISE-FTP,,,,,,,
WS_FTP,,,,,,,
Xftp,,,,,,,
Yummy FTP,,,,,,,
sFTP Client,,,,,,,
Desktop.Tech,,,,,,,
Client,Windows,Mac OS X,Linux,BSD,Unix,AmigaOS,ChromeOS
