Editor,JPEG,GIF,PNG,TIFF,SVG
Amaya,,,,,
Aptana,,,,,
Arachnophilia,,,,,
Bluefish,,,,,
BlueGriffon,,,,,
Brackets,,,,,(via extension)<ref>https://github.com/peterflynn/svg-preview</ref>
Claris Homepage,,,,,
Codelobster,,,,,
CoffeeCup HTML Editor,,,,,
Dreamweaver,,,,,
Freeway,,,,,
GoLive,,,,,
KompoZer,,,,,
Maqetta,,,,,
Microsoft Expression Web,,,,,
Microsoft FrontPage<ref>Actual amount of supported formats depend on installed converter. FrontPage uses Microsoft Office converters.</ref>,,,,,
Microsoft SharePoint Designer,,,,,
Microsoft Visual Web Developer,,,,,
Mobirise,,,,,
Nvu,,,,,
openElement,,,,,
OpenOffice.org,,,,,
oXygenXML Editor,,,,,
Quanta Plus,,,,,
RocketCake,,,,,
SeaMonkey Composer,,,,,
TOWeb,,,,,
Web Architect,,,,,
WebStorm IDE,,,,,
Editor,JPEG,GIF,PNG,TIFF,SVG
