Client,Windows 7  Vista,XP  2000,NT 4.0,NT 3.x,Me  98,95,3.1x,ReactOS,macOS (Intel/PPC),OS 9,OS 8,System 7 (PPC/68k),BeOS  Haiku,OS/2  eCS,AmigaOS (68k),AmigaOS 4  MorphOS (PPC),DOS
Bersirc,,,,,,,,,,,,,,,,,
BitchX,name=bitchxinstall|group=Note}},<ref name=bitchxinstall group=Note />,<ref name=bitchxinstall group=Note />,,<ref name=bitchxinstall group=Note />,<ref name=bitchxinstall group=Note />,,,,,,,,,,,
ChatZilla,,,,,,,,,,,,,,,,,
Colloquy,,,,,,,,,,,,,,,,,
degesch,,,,,,,,,,,,,,,,,
ERC,,,,,,,,,,,,,,,,,
HexChat,,(2.9.5),,,,,,,,,,,,,,,
HydraIRC,,,,,,,,,,,,,,,,,
IceChat,,,,,,,,,,,,,,,,,
ircII,<ref name=bitchxinstall group=Note />,<ref name=bitchxinstall group=Note />,<ref name=bitchxinstall group=Note />,,<ref name=bitchxinstall group=Note />,<ref name=bitchxinstall group=Note />,,,,,,,,,,,
IRCjr,,name=swsvpkt|group=Note}},<ref name=swsvpkt group=Note />,,,,,,,,,,,,,,
Ircle,,,,,,,,,<ref name=reqosx group=Note>Requires OS X v10.4.3 or later</ref>,,,,,,,,
Irssi,,,,,,,,,,,,,,,,,
jIRCii,,,,,,,,,,,,,,,,,
KiwiIRC,,,,,,,,,,,,,,,,,
Konversation,,,,,,,,,,,,,,,,,
KVIrc,,,,,,,,<ref>Connect to the ReactOS IRC Channels</ref>,,,,,,<ref>2012-07-03: 4.2.0 Released!</ref>,,,
LeafChat,,,,,,,,,,,,,,,,,
LimeChat,,,,,,,,,,,,,,,,,
Linkinus,,,,,,,,,<ref name=reqosx group=Note />,,,,,,,,
Mibbit,,,,,,,,,,,,,,,,,
mIRC,,,,,,,,,,,,,,,,,
Nettalk,,,,,name=nowin95|group=Note}},,,,,,,,,,,,
Opera,,,(10.10),,,,,<ref></ref>,<ref></ref>,,,,,,,,
PIRCH,,,,,,,,,,,,,,,,,
PJIRC,,,,,,,,,,,,,,,,,
Quassel,,,,,,,,,,,,,,,,,
qwebirc,,,,,,,,,,,,,,,,,
rIRC,,,,,,,,,,,,,,,,,
rcirc,,,,,,,,,,,,,,,,,
Scrollback,,,,,,,,,,,,,,,,,
Smuxi,,,,,,,,,,,,,,,,,
Snak,,,,,,,,,,,,,,,,,
Visual IRC,,,,,,,,,,,,,,,,,
WeeChat,<ref name=bitchxinstall group=Note />,<ref name=bitchxinstall group=Note />,<ref name=bitchxinstall group=Note />,,<ref name=bitchxinstall group=Note />,<ref name=bitchxinstall group=Note />,,,,,,,,,,,
XChat,,,,,,,,,,,,,,,,,
Client,Windows 7  Vista,XP  2000,NT 4.0,NT 3.x,Me  98,95,3.1x,ReactOS,OS X (Intel/PPC),OS 9,OS 8,System 7 (PPC/68k),BeOS  Haiku,OS/2  eCS,AmigaOS (68k),AmigaOS 4  MorphOS (PPC),DOS
