Client,386BSD,BSD/OS (BSD/386  BSDI),FreeBSD  NetBSD  OpenBSD,SunOS,ULTRIX,AIX,A/UX,HP-UX,IRIX,SCO OpenServer,Solaris,UnixWare,Linux,NeXTSTEP,OpenVMS,OSF/1,QNX,Tru64 UNIX
Bersirc,,,,,,,,,,,,,,,,,,
BitchX,,,<ref name=Unix_operating_system_support_BitchX_A group=Note />,<ref name=Unix_operating_system_support_BitchX_A group=Note />,<ref name=Unix_operating_system_support_BitchX_A group=Note />,<ref name=Unix_operating_system_support_BitchX_A group=Note />,,<ref name=Unix_operating_system_support_BitchX_A group=Note />,<ref name=Unix_operating_system_support_BitchX_A group=Note />,,<ref name=Unix_operating_system_support_BitchX_A group=Note />,,<ref name=Unix_operating_system_support_BitchX_A group=Note />,,,<ref name=Unix_operating_system_support_BitchX_A group=Note />,<ref name=Unix_operating_system_support_BitchX_A group=Note />,
ChatZilla,,,,,,,,,,,,,,,,,,
Colloquy,,,,,,,,,,,,,,,,,,
degesch,,,,,,,,,,,,,,,,,,
DMDIrc,,,,,,,,,,,,,,,,,,
ERC,,,,,,,,,,,,,,,,,,
HexChat,,,,,,,,,,,,,,,,,,
HydraIRC,,,,,,,,,,,,,,,,,,
IceChat,,,,,,,,,,,,,,,,,,
ircII,,,,,,,,,,,,,,,,,,
IRCjr,,,,,,,,,,,,,,,,,,
Ircle,,,,,,,,,,,,,,,,,,
Irssi,,,,,,,,,,,,,,,,,,
KiwiIRC,,,,,,,,,,,,,,,,,,
Konversation,,,,,,,,,,,,,,,,,,
KVIrc,,,,,,,,,,,,,,,,,,
LeafChat,,,,,,,,,,,,,,,,,,
LimeChat,,,,,,,,,,,,,,,,,,
Linkinus,,,,,,,,,,,,,,,,,,
Mibbit,,,,,,,,,,,,,,,,,,
mIRC,,,,,,,,,,,,,,,,,,
Nettalk,,,,,,,,,,,,,,,,,,
Opera,,,,,,,,,,,,,,,,,,
PIRCH,,,,,,,,,,,,,,,,,,
PJIRC,,,,,,,,,,,,,,,,,,
Quassel,,,,,,,,,,,,,,,,,,
qwebirc,,,,,,,,,,,,,,,,,,
rcirc,,,,,,,,,,,,,,,,,,
Smuxi,,,,,,,,,,,,,,,,,,
Snak,,,,,,,,,,,,,,,,,,
Visual IRC,,,,,,,,,,,,,,,,,,
WeeChat,,,name=Unix_operating_system_support_WeeChat_A|group=Note}},,,,,,,,<ref name=Unix_operating_system_support_WeeChat_A group=Note />,,,,,,<ref name=Unix_operating_system_support_WeeChat_A group=Note />,
XChat,,,,,,,,name=Unix_operating_system_support_XChat_A|group=Note}},,,,,,,,,,
Client,386BSD,BSD/OS (BSD/386  BSDI),FreeBSD  NetBSD  OpenBSD,SunOS,ULTRIX,AIX,A/UX,HP-UX,IRIX,SCO OpenServer,Solaris,UnixWare,Linux,NeXTSTEP,OpenVMS,OSF/1,QNX,Tru64 UNIX
