IRC daemon,Connect-flood detection,Channel flood controls basic / advanced,Join throttling,Spamfilter regexp / glob,Channel censor IRCd config / chanop-controlled,Variable per-channel banlist size,Timed bans,DNSBL,CGI:IRC/WEBIRC host spoofing
Bahamut,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
bIRCd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Charybdis,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ConferenceRoom,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
InspIRCd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
IRCD,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
IRCD-Hybrid,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ircd-ratbox,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ircu,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ithildin,Module,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
kike,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
miniircd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Nefarious IRCu,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ngIRCd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OfficeIRC Server,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PleXusIRCd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
pureIRCd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RockIRCd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RubIRCd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ShadowIRCd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
solid-ircd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Synchronet IRCd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UnrealIRCd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WeIRCd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
