+ List of source code editors
Editor,Site,Latest version,Style  clone of,Cost (US$),Software license,Open source,Browser support,Activity
Ace,Home  demo,1.3.3  2018-03-26,Sublime Text / Microsoft Visual Studio,,New BSD License,,Firefox 3.5+  Safari 4+  Chrome  IE 8+  Opera 11.5+,
Atom,Home,1.7.3  2016-04-28,Emacs  Vim and others,,Dual,,Chrome,
CodeMirror,Home  demo,5.39.0  2018-06-20,plain textarea,,MIT-like,,Firefox 3+  Chrome  Safari 3+  Internet Explorer 8+  Opera 9+<ref>CodeMirror supported browsers</ref>,
Codeanywhere,Home,6.0,SublimeText,-,Public Cloud,,Firefox 3+  Chrome  Safari 3+  Internet Explorer 8+  Opera 9+,
Codenvy Editor,Home,2.10.17  2014-01-17,Eclipse,-,Public Cloud,,Firefox 3+  Chrome  Safari 3+  Internet Explorer 8+  Opera 9+,
Orion,Home,8.0  2015-03-04,Eclipse SWT StyledText  regular textarea,,dual-licensed: BSD&nbsp;3-clause and EPL,,Firefox 37+  Chrome 40+  Safari7+  Internet Explorer 11+<ref>Orion supported browsers</ref>,
Monaco Editor,Home  demo,0.15.6  2018-11-23,Visual Studio Code,,MIT,,IE8+  Firefox 4+  Chrome,
Markitup,Home  demo,1.1.14  2013-02-04,Markup editor  no syntax highlight,,MIT  GPL,,IE 6 & 7  Firefox 2 & 3  Safari 3.1  Opera 9+<ref></ref>,
LDT,Home,2012-02-19,regular textarea,,MIT  GPL,,Firefox 3.6+  IE8  Chromium 16  Midori 4.1  Opera 11  Epiphany,
Ymacs,Home  demo,0.5  2012-03-28,Emacs,,BSD,,Firefox  Chrome  Safari,
CodePress,Home,0.9.6  2007-09-26,Microsoft Visual Studio,,LGPL,,,
CodeTextArea,Home  demo,2009-06,Microsoft Visual Studio,,BSD,,Dojo widget,
EditArea,Home  demo,0.8.2  2010-01-14,Microsoft Visual Studio,,LGPL,,IE 6+  Firefox 1.5+  Safari 3+  Opera 9+  Chrome<ref>EditArea compatibility chart</ref>,
Helene,Home  demo,0.9  unknown release date,Microsoft Visual Studio,,GPL,,,
9ne,Home,,Emacs,,GPL,,,
jsvi,Home,,vi,,GPL,,,
MDK-Editor,Home,2.10  2008,Microsoft Visual Studio,,Dual,,tested to work on: IE 6  7 - Firefox 2  3 - Chrome,
Micro,Home,2013,nano,,GPL,,,
