Distribution,x86,x86-64,ia64,ppc<ref>http://penguinppc.org/3383 </ref>,ppc64,sparc32,sparc64,arm,hppa<ref></ref>,loongson,mips<ref></ref>,sh,s390,s390x,alpha<ref></ref>,m68k<ref></ref>,riscv
Alpine Linux,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Arch Linux,<br />Unofficial<ref></ref><br />Official discontinued 2017-11-08<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],<br />Unofficial<ref></ref>,[empty],</ref>}},[empty],[empty],[empty],[empty],[empty],[empty],[added]
BackTrack,</ref>}},[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
BLAG,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Bodhi Linux,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
BOSS Linux,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
CentOS,[empty],[empty],<ref name="centos42ArchAnnouncement"></ref>,[empty],[empty],<ref name="centos42ArchAnnouncement" /><ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],<ref name="centos42ArchAnnouncement" /><ref name="centos41S390Announement"></ref>,<ref name="centos42ArchAnnouncement" /><ref name="centos41S390Announement" />,<ref name="centos42ArchAnnouncement" /><ref></ref><ref></ref>,[empty],[added]
Chakra,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
CRUX,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Debian<ref></ref>,[empty],[empty],<ref></ref>,[empty],[empty],<ref></ref>,</ref>}},[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],</ref>}}
Devuan,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Dragora GNU/Linux-Libre,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
dyne:bolic,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Fedora<ref></ref>,[empty],[empty],<ref></ref>,[empty],[empty],[empty],<ref></ref>,<ref></ref>,[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],</ref>}}
Finnix,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Gentoo<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],<ref></ref>,<ref></ref><ref></ref>,[empty],[empty],[empty],[empty],[empty],[added]
