[empty],Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
Butler Office Pro X,2.2.0<ref name="butleroffice" />,Mac OS X,Butler Office Pro X,Butler Software Solutions,[empty],[empty],[empty],Full support via email
DataViz Slideshow To Go,11.000<ref name="dataviz" />,Palm OS  Windows Mobile  Symbian (UIQ  S80),Documents To Go,DataViz,[empty],[empty],[empty],[empty]
EIOffice Presentation,2009  5.0.1272.101<ref name="eioffice" />,Windows  Linux,EIOffice,Evermore Software,[empty],[empty],[empty],Import only<ref name="eioffice" />
Go-oo Impress,3.0.0<ref name="go-oo" />,Windows  Linux  Unix  Mac OS X,Go-oo,Free software community,[empty],[empty],[empty],Import only
IBM Lotus Symphony,1.3<ref name="symphony" />,Windows  Mac OS X  Linux,IBM Lotus Symphony,IBM,[empty],[empty],[empty],Import only
Keynote,'08<ref></ref>,Mac OS X,iWork,Apple Inc.,[empty],[empty],[empty],[empty]
LibreOffice,All versions,Windows  OS X  Linux  Unix  Android,[empty],The Document Foundation,[empty],[empty],[empty],[empty]
Microsoft Office PowerPoint,2013  2011 for Mac,Windows  Mac OS X,Microsoft Office,Microsoft,[empty],[empty],[empty],[empty]
Microsoft Office Mobile PowerPoint Mobile,6.1<ref name="msofice_mobile" />,Windows Mobile,Microsoft Office Mobile,Microsoft,[empty],[empty],[empty],[empty]
NeoOffice Impress,2.2.5<ref name="NeoOffice_File_Formats" />,Mac OS X,NeoOffice,Patrick Luby  Edward Peterlin,[empty],[empty],[empty],[empty]
ONLYOFFICE,5.2<ref name=":0" />,Web Application,ONLYOFFICE,Ascensio System SIA,Proprietary  AGPL,[empty],[empty],[empty]
OpenOffice.org Impress,3.0,Windows  Linux  Unix  Mac OS X,OpenOffice.org,OpenOffice.org,[empty],[empty],[empty],Import only
Corel Presentations,X4 (2008)<ref name="wordperfect_office" />,Windows,WordPerfect Office,Corel,[empty],[empty],[empty],Import only
StarOffice Impress,9<ref name="staroffice" />,Windows  Linux  Solaris,StarOffice,Sun Microsystems,[empty],[empty],[empty],Import only<ref name="staroffice-ooxml" />
Thinkfree Office Show,<ref name="thinkfree" />,Windows  Mac OS X  Linux,Thinkfree Office,ThinkFree Corp,[empty],[empty],[empty],[empty]
[empty],Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
