Latin,Spanish,Portuguese,Examples,Meaning
-  -  -,ll- or pl,ch-,→ S. llamar  P. chamar  → S. plomo  P. chumbo  → S. llama  P. chama  → S. lleno  P. cheio (also pleno),'to call' 'lead' (metal) 'flame' 'full'
--  --,-ch-,-it-,→ S. mucho  P. muito  → S. noche  P. noite  → S. pecho  P. peito,'much' 'night' 'chest'
-,h- (later silent) or f-,f-,→ S. hablar  P. falar   → S. hijo  P. filho  → S. fuego  P. fogo,'to speak' 'son' 'fire'
-,ya-,ja-,→ S. ya  P. já   → S. yacer  P. jazer (both archaic),'already' 'to lie  as in a grave'
--,-l-,(elided),→ S. cielo  P. céu (arch. ceo)   → S. volar  P. voar,'sky' 'to fly'
--  --,-j-,-lh-,→ S. ojo  P. olho  → S. hijo  P. filho,'eye' 'son'
--,-ll-,-l-,→ S. castillo  P. castelo,'castle'
--,-n-,(elided),→ S. general  P. geral  → S. tener  P. ter,'general' (adj.) 'to have'
--,-ni-,-nh-,→ S. junio  P. Junho,[added]
--,-ñ-,-n-,→ S. año  P. ano  → S. caña  P. cana,'year' 'reed'
