Portuguese,Spanish,English
[added],[added],[added]
cola (< Lat. ),pegamento  cola (< Lat.   < Lat. ),glue
vaso (< Lat. ),maceta  tiesto (< Hisp.-Ar. maceta  maybe < Ital. mazzetto; < Lat. ),vase  flowerpot
floco (< Lat. ),copo (< Lat. ),flake
competência (< Lat. ),aptitud  capacidad (< Lat. ),competence  competency
despido (< Lat. ),desnudo (< Lat. + ),naked
osso (< Lat. ),hueso (< Lat. ),bone
pez (< Lat. ),brea (< Fr. brayer),pitch  resin
polvo (< Gr. ),pulpo (< Gr. ),octopus
tenda (< Lat. ),tienda  lona  toldo (< Lat. ; < Fr. Olonne; < Fr. taud < Old Germ. tialz),tent  marquee
ganância (< Gothic ),codicia  avaricia  afán (< Lat. ; < Lat. ; probably < Lat. ),greed  avarice  covetousness
inversão (< Lat. ),inversión (< Lat. ),inversion
embaraçada (< Lat. + O.Port. baraça  of uncertain origin),avergonzada (< Lat. ),embarrassed
estafa (< Ital. staffa),agotamiento  fatiga  extenuación (< Lat.; < Lat.; < Lat. ),exhaustion  tiredness  wear out
esquisito (< Lat. ),raro  extraño  peculiar (< Lat. ; < Lat. ; < Lat. ),odd  strange  peculiar
moléstia (< Lat. ),enfermedad  achaque  plaga  peste (< Lat. ; < Ar. šakā; < Lat. ; < Lat. ),disease  plague
serviço (< Lat. ),servicio (< Lat. ),service
perro (origin uncertain  maybe < Sp. perro),oxidado (< Greek + Lat. suffix ),rusty
berro (< Lat. ),chillido  berrido (< Lat. ; < Lat. ),screech  shriek
aceite (< Lat. ),aceptado (< Lat. ),accepted
oficina (< Lat. < ),taller; taller de coches; taller mecánico de autos (< Old Fr. astelier; < Old Fr. estalier + Lat. ; < Old Fr. astelier + Lat. + Gr. αὐτο),auto repair centre  repair garage  workshop
firma (< Lat. ),empresa; compañía; sociedad  negocio (< Lat. ),business  firm  company  corporation  enterprise  venture  establishment  group  house
presunto (< Lat. ),jamón (< Fr. jambon),ham  prosciutto
risco (< Lat. ),riesgo (< Arabic rizq<ref></ref> or maybe Italian rischio}}),risk  line
topo (< Gr. ),cumbre (< Lat. or ),top
