Meaning,Spanish,Portuguese,Notes
alibi,coartada < Lat.,álibi < Lat.,[added]
store  shop,tienda < Late Lat. (< ),loja < Fr.,[added]
knee,rodilla < Lat. ('little wheel'),joelho < Lat.,The learned word rótula ('kneecap' in both Sp. and Port.) is from the same root as Spanish rodilla. Sp. de hinojos 'kneeling' is from the same source as Port. joelho.
home,hogar < Lat. e,Lar < Lat.,[added]
street,calle < Lat.,rua < Lat.,[added]
(legal) prosecutor,fiscal < Lat.,procurador < Lat.,[added]
highway  road,carretera < carreta + ‑era < carro < Lat. < Gaulish carros,estrada < Lat.,[added]
retailer,minorista < Lat.,retalhista < Late Lat.,[added]
sales,rebajas < Lat. prefix 're' +,saldos  liquidação < Ita.   Lat.,[added]
grocer,abarrotero Uncertain < Lat. or < Pre-Roman,merceeiro < Lat.,[added]
organic food,comida orgánica < Lat. + Greek,alimentação biológica  Bio < Lat. + Greek,In Brazil  the most common expression is the same as in Spanish  albeit written with an â instead of an á: comida orgânica.
leather,piel < Lat.,couro  coiro < Lat.,Spanish also has cuero. Portuguese pele usually means 'skin' or 'fur'  but it can also mean 'leather'.
fight  brawl,pelea < Lat.,briga < Ita. or Occitan,Portuguese also has peleja
riff-raff  mob,chusma < Genoese ciüsma < Gr.,canalha < Occitan,[added]
police station,comisaría (de policía) < Lat. + Gr.,esquadra  posto de polícia < Lat. + Gr.,Brazilian Port. tends to use 'delegacia (de polícia)'
litter  rubbish,basura < Lat.,lixo < Lat.,[added]
hole,agujero < Lat. + suffix,buraco < Proto-Germanic </ref>}},[added]
drill,taladro < Lat.,furadeira (Brazilian Portuguese) < Lat. or berbequim (European Portuguese) < Fr. < Dutch,[added]
demolition hammer,rompedor < Lat.,martelo demolidor < Lat.,[added]
sauce,salsa < Lat.,molho < Lat.,[added]
plane,cepilladora < Lat.,plaina < Lat.,[added]
camshaft  camshaft tree,árbol de levas < Lat.,árvore de cames < Lat. + Germanic,[added]
gills,branquias < Lat. < Gr.,guelras < Proto-Germanic,In zoology  Port. also uses brânquias (branchiae).
goose,oca < Lat.,ganso < Gothic/Suebian,Spanish also has ganso.
