Implementation,HMAC-MD5,HMAC-SHA1,HMAC-SHA256/384,AEAD,GOST 28147-89 IMIT<ref name=gostlink/>,GOST R 34.11-94<ref name=gostlink/>
BearSSL<ref name="bearssl-hash"></ref>,,,,,,
Botan,,,,,,
CryptoComply,,,,,,
cryptlib,,,,,,
GnuTLS,,,,,,
JSSE,,,,,<ref name="GOST-extensions-JSSE"/>,<ref name="GOST-extensions-JSSE"/>
LibreSSL,,,,,<ref name="libressl-2.1.2"/>,<ref name="libressl-2.1.2"/>
MatrixSSL,,,,,,
mbed TLS,,,,,,
NSS,,,,,<ref name=mozilla_bug518787 /><ref name=mozilla_bug608725 />,<ref name=mozilla_bug518787 /><ref name=mozilla_bug608725 />
OpenSSL,,,,,<ref name="OpenSSL-GOST"/>,<ref name="OpenSSL-GOST"/>
RomSTL,,,,,,
RSA BSAFE,,,,,,
rustls,,,,,,
SChannel XP/2003  Vista/2008,,,<ref name="SHA2 and Windows"></ref>,,<ref name="GOST-extensions-SChannel"/>,<ref name="GOST-extensions-SChannel"/>
SChannel 7/2008R2  8/2012  8.1/2012R2,,,,<ref name="ms14-066" /><ref name="20141111msblog" /><ref name="win8.1aesgcm"/>,<ref name="GOST-extensions-SChannel"/>,<ref name="GOST-extensions-SChannel"/>
SChannel 10,,,,<ref name=schannel10pre/>,<ref name="GOST-extensions-SChannel"/>,<ref name="GOST-extensions-SChannel"/>
Secure Transport,,,,,,
wolfSSL,,,,,,
Erlang/OTP SSL application,,,,,,
Implementation,HMAC-MD5,HMAC-SHA1,HMAC-SHA256/384,AEAD,GOST 28147-89 IMIT,GOST R 34.11-94
