Implementation,Namespace,Build tools,API manual,Crypto back-end,
BearSSL,br_*,Makefile,API Reference (Doxygen),Included,
Botan,Botan::TLS,Makefile,Sphinx,Included (pluggable),
Bouncy Castle,org.bouncycastle,Java Development Environment,Programmers reference manual (PDF),Included (pluggable),
CryptoComply,com.safelogic.cryptocomply<br />...,C linker and/or Java classloader,User Guide and/or Support Portal,Included,
cryptlib,crypt*,makefile  MSVC project workspaces,Programmers reference manual (PDF)  architecture design manual (PDF),Included (monolithic),
GnuTLS,gnutls_*,Autoconf  automake  libtool,Manual and API reference (HTML  PDF),External  libnettle,(limited)
JSSE,javax.net.ssl,Makefile,API Reference (HTML) +,Java Cryptography Architecture  Java Cryptography Extension,
MatrixSSL,Makefile  MSVC project workspaces  Xcode projects for OS X and iOS,API Reference (PDF)  Integration Guide,Included (pluggable),(Subset: SSL_read  SSL_write  etc.)
mbed TLS,Makefile  CMake  MSVC project workspaces  yotta,API Reference + High Level and Module Level Documentation (HTML),Included (monolithic),
NSS,Makefile,Manual (HTML),Included  PKCS#11 based<ref name=nsscrypto>On the fly replaceable/augmentable.</ref>,(separate package called nss_compat_ossl<ref name=nsscapatossl></ref>)
OpenSSL,Makefile,Man pages,Included (monolithic),
RomSTL,Sl*,C compiler  linker,Manual with API reference,Included,
RSA BSAFE Micro-Edition Suite,R_*,Makefile,Developer's guide,Included,
RSA BSAFE SSL-J,com.rsa.*,Java classloader,Javadoc  Developer's guide (HTML),Included,
rustls,rustls,cargo,API Reference,External  ring<ref name=rustlsdepring></ref>,
wolfSSL,Autoconf  automake  libtool  MSVC project workspaces  XCode projects  CodeWarrior projects  MPLAB X projects  Keil  IAR  Clang  GCC,Manual and API Reference (HTML  PDF),Included (monolithic),(about 10% of API)
Implementation,Namespace,Build tools,API manual,Crypto back-end,OpenSSL compatibility layer
