Implementation,Application-defined,PKIX path validation<ref name="X.509-PKI-cert">RFC 5280</ref>,CRL<ref name="auto4">RFC 3280</ref>,OCSP<ref name="auto5">RFC 2560</ref>,DANE (DNSSEC)<ref name="auto6">RFC 6698  RFC 7218</ref>,Trust on First Use (TOFU)
BearSSL,[empty],[empty],[empty],[empty],[empty],[empty]
Botan,[empty],[empty],[empty],[empty],[empty],[empty]
Bouncy Castle,[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added]
CryptoComply,[empty],[empty],[empty],[empty],[empty],[empty]
cryptlib,[empty],[empty],[empty],[empty],[empty],[empty]
GnuTLS,[empty],[empty],[empty],[empty],[empty],[empty]
JSSE,[empty],[empty],[empty],[empty],[empty],[empty]
LibreSSL,[empty],[empty],[empty],[empty],[empty],[empty]
MatrixSSL,[empty],[empty],[empty],<ref></ref>,[empty],[empty]
mbed TLS,[empty],[empty],[empty],<ref></ref>,[empty],[empty]
NSS,[empty],[empty],[empty],[empty],<ref></ref>,[empty]
OpenSSL,[empty],[empty],[empty],[empty],[empty],[empty]
RomSTL,[empty],[empty],[empty],[empty],[empty],[empty]
RSA BSAFE,[empty],[empty],[empty],[empty],[empty],[empty]
rustls,[empty],[empty],[empty],[empty],[empty],[empty]
SChannel,[empty],[empty],<ref name="TechNet"></ref>,<ref name="TechNet" />,[empty],[empty]
Secure Transport,[empty],[empty],[empty],[empty],[empty],[empty]
wolfSSL,[empty],[empty],[empty],[empty],[empty],[empty]
Erlang/OTP SSL application,[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added]
Implementation,Application-defined,PKIX path validation<ref name="X.509-PKI-cert"/>,CRL<ref name="auto4"/>,OCSP<ref name="auto5"/>,DANE (DNSSEC)<ref name="auto6"/>,Trust on First Use (TOFU)
