+ Properties of TeX editors 3,[empty],Collapsible sections,Find and replace using RegEx,Intelligent error handling,Autocompletion of LaTeX commands,Parenthesis matching,Starts up to previous state<ref group=Note>Starts up to previous state including the current editing point.</ref>,Unicode support,RTL Support<ref group=Note>RTL support means Right to Left language support.</ref>,[empty]
AUCTeX,[empty],[empty],[empty],[empty],[empty],<ref group=Note>configurable as an option of the Emacs editor</ref>,[empty],[empty],AUCTeX,[added]
Authorea,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,Authorea,[added]
Auto-Latex Equations for Google Docs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,Auto-Latex Equations for Google Docs,[added]
CoCalc,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,CoCalc,[added]
Gummi,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,Gummi,[added]
Kile,Yes<ref group=Note>With usual \section{} notation  Kile collapses equations and figures  but not sections. Collapsing of sections is possible with non-standard notation \begin{section}{}...\end{section}{}  but it eliminates sections from Structure View. An alternative possibility is bracketing sections with comments %BEGIN and %END.</ref>}},[empty],[empty],[empty],[empty],[empty],[empty],[empty],Kile,[added]
GNOME-LaTeX,Planned,[empty],[empty],[empty],[empty],[empty],[empty],[empty],GNOME-LaTeX,[added]
LEd,[empty],[empty],?,[empty],[empty],(just same files),[empty],?,LEd,[added]
LyX,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],LyX,[added]
MeWa,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,MeWa,[added]
Notepad++,[empty],[empty],[empty],<ref group=Note>This will have to be set up manually.</ref>,[empty],[empty],[empty],[empty],Notepad++,[added]
Scientific WorkPlace,[empty],?,?,[empty],[empty],[empty],[empty],?,Scientific WorkPlace,[added]
ShareLaTeX,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,ShareLaTeX,[added]
TeXmacs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,TeXmacs,[added]
Texmaker,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Texmaker,[added]
TeXnicCenter,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,TeXnicCenter,[added]
TeXShop,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,TeXShop,[added]
TeXstudio,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],TeXstudio,[added]
TeXworks,[empty],<ref group=Note>Provides a subset of the regular expression syntax implemented in the Perl scripting language  but fully supports Unicode (  [http://code.google.com/p/texworks/issues/detail?id=194 Issue 194: Add advanced regexp options to Find/Replace] )</ref>,[empty],<ref group=Note>Template file in resource directory (  Documentation of the code completion feature )</ref>,[empty],[empty],[empty],[empty],TeXworks,[added]
Verbosus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,Verbosus,[added]
WinEdt,[empty],(modified),[empty],[empty],[empty],[empty],[empty],[empty],WinEdt,[added]
WinShell,[empty],[empty],[empty],[empty],[empty],(just same files),[empty],?,WinShell,[added]
[empty],Collapsible sections,Find and replace using RegEx,Intelligent error handling,Autocompletion of LaTeX commands,Parenthesis matching,Starts up to previous state<ref group=Note>Starts up to previous state including the current editing point.</ref>,Unicode support,RTL Support<ref group=Note>RTL support means Right to Left language support.</ref>,[empty],[added]
