Calculator,TI-BASIC,Native code,Lua
<br />TI-73  TI-73 Explorer,[empty],[empty],[added]
<br />TI-80,[empty],[empty],[added]
<br />TI-81,[empty],Only using exploits,[added]
<br />TI-82,[empty],Only using exploits,[added]
<br /> TI-83,[empty],[empty],[added]
<br /> TI-83 Plus,[empty],[empty],[added]
<br /> TI-83 Plus Silver Edition,[empty],[empty],[added]
<br />TI-84 Plus,[empty],[empty],[added]
<br />TI-84 Plus Silver Edition,[empty],[empty],[added]
<br />TI-84 Plus C Silver Edition,[empty],[empty],[added]
<br />TI-84 Plus CE,[empty],[empty],[added]
<br />TI-85,[empty],Only using exploits,[added]
<br />TI-86,[empty],[empty],[added]
<br />TI-89,[empty],[empty],[added]
<br /> TI-89 Titanium,[empty],[empty],[added]
<br /> TI-92  TI-92 II,[empty],Only using exploits,[added]
<br /> TI-92 Plus,[empty],[empty],[added]
<br /> Voyage 200,[empty],[empty],[added]
<br /> TI-Nspire  TI-Nspire CAS,[empty],Only using exploits,[added]
<br /> TI-Nspire CX  TI-Nspire CX CAS,[empty],Only using exploits,[added]
[added],[added],[added],[added]
