[empty],Lower house,Upper house,Ratio,Total
State,Legislative branch constitutional name,Name,Size,Term length (years)
California,California State Legislature,California State Assembly,80,2
Texas,Texas Legislature,Texas House of Representatives,150,2
New York,New York State Legislature,New York State Assembly,150,2
Florida,Florida Legislature,Florida House of Representatives,120,2
Illinois,Illinois General Assembly,Illinois House of Representatives,118,2
Pennsylvania,Pennsylvania General Assembly,Pennsylvania House of Representatives,203,2
Ohio,Ohio General Assembly,Ohio House of Representatives,99,2
Michigan,Michigan Legislature,Michigan House of Representatives,110,2
Georgia,Georgia General Assembly,Georgia House of Representatives,180,2
North Carolina,North Carolina General Assembly,North Carolina House of Representatives,120,2
New Jersey,New Jersey Legislature,New Jersey General Assembly,80,2
Virginia,Virginia General Assembly,Virginia House of Delegates,100,2
Washington,Washington State Legislature,Washington House of Representatives,98,2
Arizona,Arizona Legislature,Arizona House of Representatives,60,2
Massachusetts,General Court of Massachusetts,Massachusetts House of Representatives,160,2
Indiana,Indiana General Assembly,Indiana House of Representatives,100,2
Tennessee,Tennessee General Assembly,Tennessee House of Representatives,99,2
Missouri,Missouri General Assembly,Missouri House of Representatives,163,2
Maryland,Maryland General Assembly,Maryland House of Delegates,141,4
Wisconsin,Wisconsin Legislature,Wisconsin State Assembly,99,2
Minnesota,Minnesota Legislature,Minnesota House of Representatives,134,2
Colorado,Colorado General Assembly,Colorado House of Representatives,65,2
Alabama,Alabama Legislature,Alabama House of Representatives,105,4
South Carolina,South Carolina General Assembly,South Carolina House of Representatives,124,2
Louisiana,Louisiana State Legislature,Louisiana House of Representatives,105,4
Kentucky,Kentucky General Assembly,Kentucky House of Representatives,100,2
Oregon,Oregon Legislative Assembly,Oregon House of Representatives,60,2
Oklahoma,Oklahoma Legislature,Oklahoma House of Representatives,101,2
Connecticut,Connecticut General Assembly,Connecticut House of Representatives,151,2
Iowa,Iowa General Assembly,Iowa House of Representatives,100,2
Mississippi,Mississippi Legislature,Mississippi House of Representatives,122,4
Arkansas,Arkansas General Assembly,Arkansas House of Representatives,100,2
Kansas,Kansas Legislature,Kansas House of Representatives,125,2
Utah,Utah State Legislature,Utah House of Representatives,75,2
Nevada,Nevada Legislature,Nevada Assembly,42,2
New Mexico,New Mexico Legislature,New Mexico House of Representatives,70,2
West Virginia,West Virginia Legislature,West Virginia House of Delegates,100,2
Nebraska,Nebraska Legislature,N/A,N/A,N/A
Idaho,Idaho Legislature,Idaho House of Representatives,70,2
Maine,Maine Legislature,Maine House of Representatives,153,2
New Hampshire,New Hampshire General Court,New Hampshire House of Representatives,400,2
Hawaii,Hawaii State Legislature,Hawaii House of Representatives,51,2
Rhode Island,Rhode Island General Assembly,Rhode Island House of Representatives,75,2
Montana,Montana State Legislature,Montana House of Representatives,100,2
Delaware,Delaware General Assembly,Delaware House of Representatives,41,2
South Dakota,South Dakota State Legislature,South Dakota House of Representatives,70,2
Alaska,Alaska Legislature,Alaska House of Representatives,40,2
North Dakota,North Dakota Legislative Assembly,North Dakota House of Representatives,94,4
Vermont,Vermont General Assembly,Vermont House of Representatives,150,2
Wyoming,Wyoming Legislature,Wyoming House of Representatives,60,2
U.S. Virgin Islands,Legislature of the Virgin Islands,N/A,N/A,N/A
District of Columbia,Council of the District of Columbia,N/A,N/A,N/A
Puerto Rico,Legislative Assembly of Puerto Rico,House of Representatives of Puerto Rico,51,4
Guam,Legislature of Guam,N/A,N/A,N/A
Northern Mariana Islands,Northern Mariana Islands Commonwealth Legislature,Northern Mariana Islands House of Representatives,20,2
American Samoa,American Samoa Fono,American Samoa House of Representatives,21,2
