Program,Operating systems,License,Open source,Protocols,Codecs,Encryption,Other abilities,Latest release
Acrobits Softphone,Android v2.2+  iOS v7.0+,,,SIP,G.711  G.722  iLBC  GSM  G.729,,VOIP over Wi-Fi or 3G iOS only: push notifications  video  number rewriting  address book matching  sms for betamax providers and pennytel,Acrobits Softphone: 3.20 (Android)  5.2 (iOS)
CounterPath Corporation Bria,Android v4.4+  iOS v10+,,,SIP,G.722 wideband  G.711a  G.711u  iLBC  G.729a  SILK  GSM  VP8  H.264  Opus,,Voice and video calling  SIP and XMPP messaging support  group chat  file  image and document sharing  contact integration  incoming call/IM push notifications.,5.3.4
CSipSimple,Android,,,SIP,Opus  AMR-WB  G.722  iSAC  iLBC  Speex  Silk  Codec2  G.726  G711 (PCMA & PCMU)  AMR  GSM,,,1.02.02
Google Duo,iOS  Android,, freeware,,WebRTC,,,One-to-one voice and video calling.,
iCall Mobile,iOS v4.3+,, freeware,,SIP AIM ICQ XMPP  Facebook  Yahoo! Messenger  Windows Live,Speex  CELT  WebM,,VoIP over Wi-Fi or 3G  SMS  voicemail,2.0.1;
Jajah Mobile Web,Symbian  Windows Mobile (version unknown),,,,,,web based service  Call back no download<ref>"JAJAH.Mobile Web" . Jajah.com.</ref>,
JusTex by Juphoon,Android  iOS v5.1+,,,SIP,PCMA  PCMU  G.722  iLBC  iSAC  Opus  H.264  VP8  H.263,,JusTex Softphone over Wi-Fi or 3G  HD voice and video call  Multiparty call  conference.,3.0.1 (iOS); ; 3.0 (Android);
Line,Android  iOS,,,,,,,
Line2,Android  iOS,, freeware,,Proprietary with SIP core,,,Tri-mode calling (cellular  3G/4G data  Wi-Fi)  SMS over IP  visual voicemail  20-person conference calls  auto-attendant  call-forwarding,1.0.4 Android  3.2.1 iOS
Media5-fone,iOS  Android,,,SIP,PCMA  PCMU  G.722*  iLBC  iSAC*  G.729*,TLS*  SRTP*,Wi-Fi and 3G/4G data  second call*  conference calls*  HD Voice  Bluetooth* (* Additional fees),
Signal by Open Whisper Systems,iOS  Android,,,WebRTC<ref name="signal-video-calls-beta"></ref>,Opus<ref name="signal-video-calls-beta"/>,,End-to-end encryption by default for everything. CallKit and location privacy <ref name="signal-video-calls"></ref> one-to-one and group messaging  video calling <ref name="signal-video-calls"/> image/video sharing  timed messages  identity verification  screenshot blocking. Android only: SMS/MMS messaging  doodling <ref name="doodles-stickers-censorship"></ref> GIF sharing.<ref name="giphy-experiment"></ref>,
Sipdroid,Android,,,SIP,,,Uses Wi-Fi  3G or EDGE,2.7
Tango by TangoME Inc.,iOS  Android  Microsoft Windows  macOS  Windows Phone,, freeware,,,,,VoIP  Wi-Fi out & in  SMS over IP  call-through & call-back  instant messaging  videoconferencing,
Truphone,Nokia-Symbian  iOS  Android  BlackBerry,, freeware,,SIP,,,VoIP  Wi-Fi out & in  SMS over IP  call-through & call-back  connection management  provisioning,Symbian 4.0  iOS 1.11.1
Vopium,Symbian  Java ME  Android  BlackBerry RIM  iOS  Windows Mobile 2003 SE and higher,, freeware,,SIP  MSN  Skype  Yahoo  AOL  ICQ  Google Talk  Facebook & Twitter,GSM,,Wi-Fi VoIP  GSM call-through  SMS over IP  least cost routing  synchronising-backup mobile contacts and calendar,2.0
WhatsApp,, freeware,,,,<ref></ref>,VoIP and instant messaging over Wi-Fi or a data connection.,
Windows Mobile 6,Windows Mobile 6 Professional/Standard,,,SIP to publicly and non-publicly routable servers,,,Wi-Fi Mobile VoIP,6.1
X-PRO for Pocket PC,Windows Mobile 2003 (earlier versions support Windows PocketPC 2002),,,SIP,,,Supported devices: AudioVox Maestro  Compaq/HP iPAQ: 365x  37xx  385x  395x  hx4700  Dell Axim X51  X51v  Toshiba e550  e570. iPAQ 545x and Toshiba e7xx are not supported.<ref>"Recommended Pocket PCs". Counterpath.com.</ref>,2.2
Yuilop,Android  iOS  Windows Phone  BlackBerry OS,, freeware,,XMPP  RTP,iLBC,,VoIP over 3G-4G-LTE and Wi-fi  SMS  group chat  photo sharing  Location sharing  virtual phone numbers,
