Client name,Development status,Open source client,End-to-end authentication<ref group=lower-alpha name="end-to-end-authentication">End-to-end authentication protects communications from man-in-the-middle attacks by the service provider.</ref>,Encryption protocols,Forward secrecy,Multiple encryption,Encrypted group calling,Proxy  Tor
ZRTP,ECDH,DTLS,SRTP,[added],[added],[added],[added],[added]
FaceTime,[empty],<ref name="EFF"/>,<ref name="EFF"/>,[empty],[empty],[empty],[empty],<ref name="EFF"/>
Google Duo,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Jitsi<ref group=lower-alpha name="sip-encryption">Only if the user has registered with a compatible SIP provider. Some SIP providers do not support certain encryption protocols.</ref>,[empty],[empty],<ref name="EFF"/>,[empty],[empty],[empty],[empty],<ref name="EFF"/>
Line<ref name="Line-2016-08-10"></ref><ref name="Shin-2016-08-11"></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Linphone<ref group=lower-alpha name="sip-encryption"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PGPfone,[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty]
Signal,[empty],[empty],<ref name="EFF"/>,[empty],[empty],[empty],[empty],<ref name="EFF"/>
Silent Phone,[empty],<ref></ref>,<ref name="EFF"/>,[empty],[empty],[empty],[empty],<ref name="EFF"></ref>
Telegram,[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty]
Threema,[empty],<ref group=lower-alpha name="encryption-open" /><ref></ref>,<ref name="threema-whitepaper"></ref>,[empty],<ref name="threema-whitepaper" />,<ref name="threema-whitepaper" />,<ref name="threema-whitepaper" />,<ref group="lower-alpha" name="threema-forward-secrecy">Only on the network connection  not on the end-to-end layer.</ref><ref name="threema-whitepaper" />
Viber<ref name="Lunden-19-April-2016"></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WhatsApp,[empty],<ref group=lower-alpha name="encryption-open">Only the encryption related source code is open.</ref><ref name="whatsapp-ows" />,<ref name="whatsapp-ows"></ref>,[empty],<ref name="whatsapp-ows"/>,[empty],<ref name="whatsapp-ows"/>,<ref name="whatsapp-ows"/>
Wire,[empty],[empty],<ref></ref>,[empty],[empty],<ref name="Wire Security Whitepaper"></ref>,<ref name="Wire Security Whitepaper"/>,[empty]
Zfone,[empty],<ref></ref>,[empty],[empty],<ref></ref>,[empty],<ref></ref>,[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added]
