Format,Filename extension,Created by,Introduced in,Based on,Compression,Integrity check,Recovery record,Encryption supported,Unicode filenames,Modification date resolution,Pre-processing
Archive (ar),.a,CSRG,,Original,,,,,,1 s,
cpio,.cpio,Bell Labs,1983 Unix System V,,,, select formats only,,,,1 s,
Shell Archive (shar and makeself),.shar  .run,,1994 4.4BSD,Original,,, commonly MD5,,,,arbitrary (typically 1 s),
Tape Archive (tar),.tar,Bell Labs,1975 Version 6 Unix,,,, metadata only. Full integrity providable by filters such as gzip.,,,,1 s,
Extended TAR format (pax),.tar,OpenGroup,2001,Sun proposal + TAR,,metadata,,,,arbitrary (typically 1 ns),
BagIt,–,The Library of Congress,2007,file system,,,,,,,
7z,.7z,Igor Pavlov,2000,LZMA  LZMA2  Bzip2  PPMd  DEFLATE,,, CRC32,,, AES-256,,100 ns<ref>https://sourceforge.net/p/sevenzip/discussion/45797/thread/3964f1db/#cbcb/7556</ref>,
ACE,.ace,Marcel Lemke,,,,,,, Blowfish,,,
AFA,.afa,Vicente Sánchez-Alarcos,2009,Original,,,,, AES and CAST,,,
ARC,.arc,Thom Henderson (SEA),1985,,,,,,,2s,
ARJ,.arj,Robert Jung,1991,AR001 and AR002,,,,,,,
B1,.b1,Catalina Group Ltd,2011,LZMA,,,,, AES,,,
Cabinet,.cab,Microsoft,1992 Windows 3.1,DEFLATE,,PKCS7 Authenticode signature,,(with SDK),,2 s,
Compact File Set,.cfs,Joe Lowe (Pismo Technic Inc.),2008,ZIP/LZMA,,,,,,,
Compact Pro,.cpt,Bill Goodman,1990 (as "Compactor"),Original,,,,,,,
Disk Archive (DAR),.dar,Denis Corbin,2002,Original,,,,,,1 µs,
DGCA,.dgc,Shin-ichi Tsuruta,2001,GCA,,,,,,,
FreeArc,.arc,Bulat Ziganshin,2006,LZMA  PPMd  TTA,,,,, AES  Blowfish  Twofish and Serpent,,,
LHA (also LZH),.lzh  .lha,Haruyasu Yoshizaki,1988,Frozen,,Only on recent LHA releases,,,,1–2 s,
LZX,.lzx,Jonathan Forbes and Tomi Poutanen,1995,LZ77,,Only on recent LZX releases,,,,,
Sparc,.arc,David Pilling,1989,,,,,,,,
WinMount format,.mou,?,2007,?,,,,,,,
Macintosh Disk Image,.dmg,Apple Computer,2001 Mac OS X,Original,,,,,,,
Partition Image (PartImage),.partimg,François Dupoux and Franck Ladurelle,2000,,,,,,,,
PAQ Family (Several formats),.paq#*  .lpaq#*,Matt Mahoney,2002–2006,Original,,,,,,,
PEA,.pea,Giorgio Tani,2006,Original  Deflate based compression,,Adler32  CRC32  CRC64  MD5  SHA1  RIPEMD-160  SHA256  SHA512  Whirlpool,,Authenticated Encryption  AES128 and AES256 in EAX mode,system dependent,arbitrary,
PIM,.pim,Ilia Muraviev,2004–2008,Original,,,,,,,
Quadruple D,.qda,Taku Hayase (aka sandman),1997,,,,,,,,
RAR,.rar,Eugene Roshal,1993,Original,,, CRC32  BLAKE2,, Reed–Solomon,, AES-256 for RAR 5.0 archives,, UTF-8,2 s  1 s  6.5536 ms  25.6 µs or 100 ns,
RK,.rk,M Software  Ltd.,2004,Original,,,,, AES  Square  Twofish,,1 s,
NuFX,.shk,Andy Nicholas,1989,Original,,,,,,1 s,
StuffIt (also SIT),.sit,Raymond Lau,1987,,,,,,,,
StuffIt X (also SITx),.sitx,Aladdin/Allume Systems,2002,,,,,, RC4 Blowfish  AES DES,,,
UltraCompressor II,.uc .uc0 .uc2 .ucn .ur2 .ue2,Nico de Vries,1992–1996,LZ77 and Huffman coding,,,,, triple DES,,?,
Windows Image,.wim,Microsoft,2006,Original,,,,,,100 ns,
ZIP (also PKZIP),.zip,Phil Katz,1989,DEFLATE,,,,, AES,,1–2 s  depending on version,
ZPAQ,.zpaq,Matt Mahoney,2009,PAQ,,, SHA-1,,, AES-256,,,
