Audio player,Flash,RealPix,QuickTime Video Effects in mov,HTML+TIME(+VML),smil/smi,SVG,MIDI(smf),MIDI(kar),MIDI(xmf),MIDI(rmi),MIDI(xmi),NSF,SPC,PSF
AIMP,,,,,,,,,,,,,,
Amarok,,,,,,,,,,,,,,
Audacious,,,,,,,,,,,,,,
Audion,,,,,,,,,,,,,,
cmus,,,,,,,,,,,,,,
Cog,,,,,,,,,,,,,,
foobar2000,,,,,,,(plugin),,,(plugin),(plugin),(plugin),(plugin),(plugin)
JuK,,,,,,,,,,,,,,
JRiver Media Center,,,,,,,,,,,,,,
MediaMonkey,,,,,,,,,,,,(Winamp plugin),(Winamp plugin),(Winamp plugin)
MPXPLAY,,,,,,,,,,,,,,
MusicBee,,,,,,,,,,,<ref name="through_gstreamer" />,,,
Musicmatch Jukebox,,,,,,,,,,,,,,
musikCube,,,,,,,,,,,,,,
Rhapsody,,,,,,,,,,,,,,
Rhythmbox,,,,,,,,,,,,,,
Sonique,,,,,,,,,,,,,,
XMMS,,,,,,,,,,,,,,
Zinf,,,,,,,,,,,,,,
Audio player,Flash,RealPix,QuickTime Video Effects in mov,HTML+TIME(+VML),smil/smi,SVG,MIDI(smf),MIDI(kar),MIDI(xmf),MIDI(rmi),MIDI(xmi),NSF,SPC,PSF
