Audio player,ID3v1,ID3v2,APEv2 tag,Vorbis comment,Cue sheet,CD-Text,WAVE chunks
AIMP,,,,,,,
Amarok,<ref group="metadatanotes" name="taglib">Understanding of ID3v1  ID3v2  APEv2 and Vorbis comments is handled by an external library called TagLib.</ref>,<ref group="metadatanotes" name="taglib" /><ref group="metadatanotes" >Amarok does not understand embedded covers.</ref>,<ref group="metadatanotes" name="taglib" />,,<ref group="metadatanotes" name="amarok_missing_features">Yes   but buggy.</ref>,,
Audacious,,,,,,,
Audion,,,,,,,
cmus,,,,,,,
Cog,,,,,,,
foobar2000,,,,,,<ref group="metadatanotes" name="foo_cdtext">There is a plugin called CD-TEXT Reader adding such a feature.</ref>,
iTunes,,,,,,,
JRiver Media Center,,,,,,,
JuK,<ref group="metadatanotes" name="taglib" />,<ref group="metadatanotes" name="taglib" />,<ref group="metadatanotes" name="taglib" />,<ref group="metadatanotes" name="taglib" />,,,
MediaMonkey,,,,,,,
MPXPLAY,,,,,,,
MusicBee,,,,,,,
Musicmatch Jukebox,,,,,,,
musikCube,,,,,,,
Quod Libet,,,,,,,
Rhapsody,,,,,,,
Rhythmbox,,,,,,,
Sonique,,,,,,,
XMMS,,,,,,,
Zinf,,,,,,,
Audio player,ID3v1,ID3v2,APEv2 tag,Vorbis comment,Cue sheet,CD-Text,WAVE chunks
