Shell,Usual environment,Usually invoked,Introduced,Platform-independent,Default login shell in,Default script shell in,License,Source code availability,User interface,Mouse support,Unicode support,ISO 8601 support,Console redirection,Stream redirection,Configurability,Startup/shutdown scripts,Batch scripts,Logging,available as statically linked  independent single file executable
Thompson shell,UNIX,sh,1971,,UNIX,UNIX,,,Text-based CLI,,,,,,,,,,
Bourne shell 1977 version,7th Ed. UNIX,sh,1977,,7th Ed. UNIX,7th Ed. UNIX,,,,Text-based CLI,,,,,,,,,,
Bourne shell current version,Various UNIX,sh,1977,,SunOS-5.x  FreeBSD (non-root user)<ref></ref>,SunOS-5.x,</ref>}},,Text-based CLI,,<ref>Since mid 1990s</ref>,,,,,,,<ref>if compiled with -DACCT</ref>,
POSIX shell<ref></ref>,POSIX,sh,1992<ref>As part of IEEE Std.1003.2-1992 (POSIX.2); integrated into IEEE Std.1003.1 with the 2001 revision.</ref>,,,POSIX,,,Text-based CLI,,,,,,,Unspecified (.profile given as an example),,,
bash (v4),POSIX,bash  sh,1989<ref></ref>,,GNU  Linux (default for root)  Mac OS X 10.3+,GNU  Linux  Haiku  Mac OS X,,,Text-based CLI,,<ref>  "Bash now supports the \u and \U Unicode escape."</ref>,,,,,,,,
csh,POSIX,csh,1978,,SunOS,,,,Text-based CLI,,,,,,,,,,
tcsh,POSIX,tcsh  csh,1983<ref name=Greer></ref>,,FreeBSD (default for root)  formerly Mac OS X,,,,Text-based CLI,,,,,,,,,,
Hamilton C shell,Win32  OS/2,csh,1988<ref name=PCWeek></ref>,(OS/2 version no longer maintained),,,,,Text-based CLI,,,,,,,,,,
Scsh,POSIX,scsh,1994,,,,,,,,,,,,,,,,
ksh (ksh93t+),POSIX,ksh,,AIX  HP-UX,OpenSolaris,,,Text-based CLI,,,,,,,,,,
pdksh,POSIX,ksh  sh,1989?,,OpenBSD<ref name="default OpenBSD">Default shell in OpenBSD is ksh (pdksh).</ref>,OpenBSD<ref name="default OpenBSD" />,,,Text-based CLI,,,,,,,,,,
zsh,POSIX,zsh,1990,,Deepin  Gobolinux  Grml,Grml,,,Text-based CLI,,,,,,,,,,
ash,POSIX,sh,1989,,Minix  BusyBox based systems,NetBSD  Minix  BusyBox based systems,,,Text-based CLI,,(for BusyBox  supported in command-line editing  but not in string handling<ref></ref>),,,,,,,,
CCP,CP/M  MP/M,(CCP),1975 (1973),,CP/M (no login)  MP/M,CP/M  MP/M,,(originally closed-source),Text-based CLI,,,,,,,(automatic via $$$.SUB),(only via external SUBMIT command to update $$$.SUB),,
COMMAND.COM,DOS,COMMAND,1980,(3rd party implementations  not bound to a specific DOS vendor or version  available),DOS  Windows 95  98  SE  ME,DOS  Windows 95  98  SE  ME,vendor specific  f.e. MS-EULA <ref>MS-DOS and Windows component – covered by a valid license for MS-DOS or Microsoft Windows</ref> or BSD/GPL (free clones),(except for OpenDOS  DR-DOS  PTS/DOS and FreeDOS),Text-based CLI,,,(except for DR-DOS),(via COMMAND con: or CTTY con:),,(via startup parameters and environment variables  DR-DOS also supports DIR /C /R user-default switch command),(automatic \AUTOEXEC.BAT for primary shell  or explicitly via /P  /P:filename.bat or /K startup options),(via CALL command or /C and /K startup options),,
