Shell,Functions,Exception handling,Search & replace on variable substitutions,Arith&shy;metic,Floating point,Math function library,Linear arrays or lists,Assoc&shy;iative arrays,Lambda functions,eval func&shy;tion,Pseudo&shy;random number generation,Bytecode
Bourne shell 1977 version,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Bourne shell current version,[empty],[empty],[empty],<ref name="ReferenceB"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
POSIX shell,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
bash (v4.0),[empty],[empty],Yes (via ${//} syntax)}},[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
csh,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
tcsh,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Hamilton C shell,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Scsh,[empty],?,[empty],?,?,?,[empty],?,[empty],[empty],[empty],[empty]
ksh (ksh93t+),[empty],[empty],Yes (via ${//} syntax and builtin commands)}},[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
pdksh,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
zsh,[empty],[empty],Yes (via ${:s//} and ${//} syntax)}},[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ash,[empty],(via trap),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CCP,[empty],?,[empty],[empty],?,?,[empty],[empty],[empty],[empty],[empty],[empty]
COMMAND.COM,[empty],(only Auto-fail (via COMMAND /F (or /N in some versions of DR-DOS)),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OS/2 CMD.EXE,[empty],[empty],[empty],?,[empty],[empty],?,[empty],[empty],[empty],[empty],[empty]
Windows CMD.EXE,[empty],[empty],[empty],</ref>}},[empty],[empty],</ref>)}},[empty],[empty],[empty],[empty],[empty]
4DOS,[empty],[empty],[empty],[empty],?,?,[empty],[empty],[empty],[empty],[empty],[empty]
4OS2,?,?,?,?,?,?,?,?,[empty],[empty],(%@Random[…] function),?
TCC (formerly 4NT),[empty],[empty],[empty],[empty],?,?,[empty],?,[empty],[empty],(%@Random[…] function),(via BATCOMP command)
PowerShell,[empty],(Try-Catch-Finally),[empty],[empty],[empty],<ref>The .NET System.Math class defines mathematical functions that can be used through the shortcut [Math]  e.g. [Math]::Sin for the sinus function.https://technet.microsoft.com/en-us/library/dd347632.aspx</ref>,[empty],[empty],[empty],[empty],[empty],[empty]
rc,[empty],[empty],[empty],?,?,?,[empty],?,[empty],[empty],[empty],[empty]
BeanShell,[empty],[empty],?,[empty],?,?,[empty],[empty],[empty],[empty],[empty],[empty]
VMS DCL,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
fish,[empty],[empty],[empty],[added],[added],[added],[added],[added],[added],[added],[added],[added]
