Name,AccuRev,BitKeeper,CA Harvest,ClearCase,CVS,Darcs,Git,GNU Bazaar,Integrity,Mercurial,Perforce,Plastic,PVCS,StarTeam,Subversion,Surround,Synergy,Team Concert,Team Foundation Server,Vault,Visual SourceSafe
AnthillPro,,,,,,,,,,,,,,,,,,,,,
Apache Continuum,,,,<ref name=continuum_features/>,<ref name=continuum_features/>,,<ref name=continuum_features/>,<ref name=continuum_features/>,,<ref name=continuum_features/>,<ref name=continuum_features/>,,,<ref name=continuum_features/>,<ref name=continuum_features/>,,<ref name=continuum_features/>,,,,<ref name=continuum_features/>
Apache Gump,,,,,,,,,,,,,,,,,,,,,
AppVeyor,,,,,,,,,,,,,,,<ref>http://www.appveyor.com/docs/installed-software#version-control-systems</ref>,,,,,,
Bamboo,<ref></ref>,,,,,,,,,,,,,,,,,,<ref></ref>,,
Buddy,,,,,,,,,,,,,,,,,,,,,
BuildBot,,,,,,,,,,,,,,,,,,,,,
BuildMaster,,,,,,,,,,,,,,,,,,,,,
CABIE,,,,,,,,,,,,,,,,,,,,,
CruiseControl,,,,,,,,,,,,,,,,,,,,,
CruiseControl.NET,,,,,,,,,,,,,,,,,,,,,
Distelli,,,,,,,,,,,,,,,,,,,,,
Drone,,,,,,,<ref></ref>,,,,,,,,,,,,,,
Jenkins-Hudson,,,,,,<ref>https://wiki.jenkins-ci.org/display/JENKINS/Darcs+Plugin</ref>,,,<ref>https://wiki.jenkins-ci.org/display/JENKINS/PTC+Integrity+Plugin</ref>,,,<ref>https://wiki.jenkins-ci.org/display/JENKINS/PlasticSCM+Plugin</ref>,,,,<ref>https://wiki.jenkins-ci.org/display/JENKINS/Surround+SCM+Plugin</ref>,<ref>https://wiki.jenkins-ci.org/display/JENKINS/Synergy+Plugin</ref>,<ref>https://wiki.jenkins-ci.org/display/JENKINS/Team+Concert+Plugin</ref>,,<ref>https://wiki.jenkins-ci.org/display/JENKINS/Vault+Plugin</ref>,
OpenMake Software Meister,,,,,,,,,,,,,,,,,,,,,
Semaphore (software),,,,,,,,,,,,,,,,,,,,,
TeamCity,,,,,,,,<ref>https://plugins.jetbrains.com/plugin/8886-bazaar</ref>,,,,,,,,,,,,,
Team Foundation Server,,,,,,,,,,,,,,,,,,,,,
Vexor,,,,,,,,,,,,,,,,,,,,,
