,Visual query builder,Visual schema/model/E-R diagram design,Reverse engineering,Forward engineering,ER diagram groupboxes
Adminer,,,,,
Altova DatabaseSpy,,,,,
DaDaBIK,,,,,
Database Deployment Manager,,,,,
Database Workbench,,,,,
DBeaver,,,,,
DBEdit,,,,,
ER/Builder Data Modeler,,,,,
ModelRight,,,,,
Navicat,,,,,
Navicat Data Modeler,,,,,
MySQL Workbench,,,,,
Oracle SQL Developer,,,,,
Orbada,,,,,
pgAdmin III,,,,,
phpMyAdmin,,,,,
SQL Database Studio,,,,,
SQL Server Management Studio,,,,,
SQLyog,<ref>SQLYog query builder</ref>,<ref>SQLYog schema designer</ref>,,,
SQuirreL SQL,,,,,
Toad,,,,,
Toad Data Modeler,,,,,
