+,Desktop publishing software,Developer(s),Latest stable version,Initial release,License
CorelDRAW,Corel,X8 (18.0) (),[empty],[empty],[added]
Fatpaint (Cloud-based),Mersica Inc.,1.98 (),[empty],[empty],[added]
FrameMaker,Adobe Systems,12.0.3 (),[empty],[empty],[added]
InDesign,Adobe Systems,CC 2014 (10.0.0.70) (),[empty],[empty],[added]
InPage,InPage Team,3.0 (),[empty],[empty],[added]
iStudio Publisher,iStudio Software,1.3 (),[empty],[empty],[added]
LyX,The LyX Team,2.1.2.2 (),[empty],[empty],[added]
Microsoft Publisher,Microsoft Corporation,16.0 (),[empty],[empty],[added]
Apache OpenOffice Writer,Apache Software Foundation and others,4.1.1 (),[empty],[empty],[added]
LibreOffice,The Document Foundation,[empty],[empty],[empty],[added]
PageMaker*,Adobe Systems,7.0.2 (),[empty],[empty],[added]
PagePlus,Serif Europe,X9 (),[empty],[empty],[added]
Pages,Apple Inc.,[empty],[empty],[empty],[added]
PageStream,Grasshopper LLC,5.0 (),[empty],[empty],[added]
QuarkXPress,Quark  Inc.,2017 (),[empty],[empty],[added]
RagTime,RagTime GmbH,6.5.2 (),[empty],[empty],[added]
Ready Set Go!,Diwan Software Limited,7.7.8b (),[empty],[empty],[added]
Scribus,The Scribus Team,1.5.2 (),[empty],[empty],[added]
The Print Shop,Brøderbund,23.0 (),[empty],[empty],[added]
Ventura*,Corel,10.0 (),[empty],[empty],[added]
Desktop publishing software,Developer(s),Latest stable version,Initial release,License,[added]
