Brand,Model name,Sensor size,Effective megapixels,Lens mount,Viewfinder type,,Metering zones,Focus points,Lowest ISO,Highest ISO,,<ref>ISO value  at which the noise starts to disturb the photo. Unit: ISO. More at DxOMark - Use Case Scores</ref>,,,Live view,Movie mode,,Video,,Weight (g)<ref>Data taken from specification pages of Digital Photography Review review pages (usually page #2 of given camera review)  e.g. here for a Nikon D3000</ref>,Announced (date),In production,Reference
Canon,5D Mark IV,Full frame,30.1,EF,Pentaprism,100,252,61,50,102400,91,2995,7,3.2,yes,yes,CF+SD,,150.7×116.4×75.9,890,,yes,[http://www.canon.co.uk/cameras/eos-5d-mark-iv/ [1]]
Canon,1D X Mark II,Full frame,20.2,EF,Pentaprism,100,216,61,50,409600,88,3207,14,3.2,yes,yes,CF+CFast,,158x168x83,1530,,yes,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-1Dx-Mark-II https://downloads.canon.com/nw/camera/products/eos/1d-x-mark-ii/specifications/canon-eos-1dx-mkii-specification-chart.pdf
Canon,1D X,Full frame,18.1,EF,Pentaprism,100,252,61,50,204800,82,2786,14,3.2,yes,yes,CF (2x),,158x164x83,1530,,no,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-1Dx http://usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_1d_x#Specifications
Canon,1Ds Mark III,Full frame,21.1,EF,Pentaprism,100,63,45,50,3200,80,1663,5,3,yes,no,CF+SD,,150x160x80,1205,,no,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-1Ds-Mark-IIIhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_1ds_mark_iii#Specifications
Canon,1D Mark IV,APS-H,16.1,EF,Pentaprism,100,63,45,50,102400,74,1320,10,3,yes,yes,CF+SD,,156x157x80,1180,,no,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-1D-Mark-IVhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_1d_mark_iv#Specifications
Canon,5D Mark III,Full frame,22.3,EF,Pentaprism,100,63,61,50,102400,81,2293,6,3.2,yes,yes,CF+SD,,152x117x77,950 (860 without battery),,yes,http://www.dxomark.com/index.php/Publications/DxOMark-Reviews/Canon-5D-Mark-III-Review/Sensor-performancehttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_5d_mark_iii#Specifications
Canon,5D Mark II,Full frame,21.1,EF,Pentaprism,98,35,9,50,25600,79,1815,3.9,3,yes,yes,CF,,152x114x75,810,,no,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-5D-Mark-IIhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_5d_mark_ii#Specifications
Canon,6D,Full frame,20.2,EF,Pentaprism,97,63,11,50,102400,82,2340,4.5,3,yes,yes,SD,,145x111x71,755 (680 without battery),,no,http://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_6d#Specifications
Canon,7D Mark II,APS-C,20.2,EF  EF-S,Pentaprism,100,252,65,100,51200,70,1082,10,3,yes,yes,CF+SD,,149x112x78,910 (820 without battery),,yes,http://www.dxomark.com/Cameras/Canon/EOS-7D-Mark-IIhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_7d_mark_ii#Specifications
Canon,7D,APS-C,18.0,EF  EF-S,Pentaprism,100,63,19,100,12800,66,854,8,3,yes,yes,CF,,148x111x74,820,,no,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-7Dhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_7d#Specifications
Canon,80D,APS-C,24.2,EF  EF-S,Pentaprism,100,63,45,100,25600,79,1135,7.0,3,yes,yes,SD,,139x105x79,730,,yes,http://www.dxomark.com/Cameras/Camera-Sensor-Database/Canon/EOS-80D https://downloads.canon.com/nw/camera/products/eos/80d/specifications/canon-eos-80d-specification-chart.pdf
Canon,70D,APS-C,20.2,EF  EF-S,Pentaprism,98,63,19,100,25600,68,926,7.0,3,yes,yes,SD,,139x105x79,755,,no,http://www.dxomark.com/Cameras/Camera-Sensor-Database/Canon/EOS-70D http://usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_70d#Specifications
Canon,60D,APS-C,18.0,EF  EF-S,Pentaprism,96,63,9,100,12800,66,813,5.3,3,yes,yes,SD,,145x106x79,755,,yes,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-60D
Canon,50D,APS-C,15.1,EF  EF-S,Pentaprism,95,35,9,100,12800,63,696,6.3,3,yes,yes,CF,,146x108x74,822,,no,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-50Dhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_50d#Specifications
Canon,40D,APS-C,10.1,EF  EF-S,Pentaprism,95,35,9,100,3200,64,703,6.5,3,yes,no,CF,,146x108x74,740,,no,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-40D
Canon,30D,APS-C,8.2,EF  EF-S,Pentaprism,95,35,9,100,3200,59,736,5,2.5,no,no,CF,,144x106x74,785,,no
Canon,20D,APS-C,8.2,EF  EF-S,Pentaprism,95,35,9,100,3200,62,721,5,1.8,no,no,CF,,144x106x72,770,,no
Canon,10D,APS-C,6.3,EF,Pentaprism,95,35,7,100,3200,57,571,3,1.8,no,no,CF,,150x107x75,790 (without battery),,no
Canon,760D,APS-C,24,EF  EF-S,Pentamirror,95,63,19,100,25600,70,915,5,3,yes,yes,SD,,132×101×78,565g,,yes,
Canon,750D,APS-C,24,EF  EF-S,Pentamirror,95,63,19,100,25600,71,919,5,3,yes,yes,SD,,132×101×78,555g,,yes,
Canon,700D,APS-C,18.0,EF  EF-S,Pentamirror,95,63,9,100,25600,61,681,5.0,3,yes,yes,SD,,134x100x79,580,,yes,http://www.dxomark.com/Cameras/Camera-Sensor-Database/Canon/EOS-700Dhttp://usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t5i_18_55mm_is_stm_lens_kit#Specifications
Canon,650D,APS-C,18.0,EF  EF-S,Pentamirror,95,63,9,100,25600,62,722,5.0,3,yes,yes,SD,,134x100x79,575,,no,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-650Dhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t4i_18_135mm_kit#Specifications
Canon,600D,APS-C,18.0,EF  EF-S,Pentamirror,95,63,9,100,12800,65,793,3.7,3,yes,yes,SD,,133x100x80,515 (without battery),,yes,http://www.dxomark.com/index.php/en/Cameras/Camera-Sensor-Database/Canon/EOS-600Dhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t3i_ef_s_18_55mm_is_kit#Specifications
Canon,550D,APS-C,18.0,EF  EF-S,Pentamirror,95,63,9,100,12800,66,784,3.7,3,yes,yes,SD,,129x98x75,530,,no,http://www.dxomark.com/index.php/en/Camera-Sensor/All-tested-sensors/Canon/EOS-550Dhttp://www.usa.canon.com/cusa/consumer/products/cameras/slr_cameras/eos_rebel_t2i_ef_s_18_55mm_is_kit#Specifications
Canon,500D,APS-C,15.1,EF  EF-S,Pentamirror,95,35,9,100,12800,63,663,3.4,3,yes,yes,SD,,129x98x62,480 (without battery),,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Canon/EOS-500Dhttp://usa.canon.com/cusa/support/consumer/eos_slr_camera_systems/eos_digital_slr_cameras/eos_rebel_t1i#Specifications
Canon,450D,APS-C,12.2,EF  EF-S,Pentamirror,95,35,9,100,1600,61,692,3.5,3,yes,no,SD,,129x98x62,475 (without battery),,no
Canon,400D,APS-C,10.1,EF  EF-S,Pentamirror,95,35,9,100,1600,62,664,3,2.5,no,no,CF,,127x95x65,510 (without battery),,no
