Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
Acoustica,Acon Digital,,,,,,,,,
Audacity,Audacity Team,,,,,,,,NFS,
Audiotool,Hobnox,,,,,,,,NFS,Optional MIDI support
BIAS Peak,BIAS,,,,,,,,,
Diamond Cut ART,Diamond Cut Productions,,,,,,,,,
Ecasound,Kai Vehmanen,,,,,,,,,
Goldwave,Goldwave Inc.,Shareware,,,,,,,,
Jokosher,Jokosher,,,,,,,,NFS,
NU-Tech,Leaff Engineering,,,,,,,,,
RiffWorks,Sonoma Wire Works,,,,,,,,,
Sound Forge,Sony,,,,,,,,,
Soundbooth,Adobe Systems,,,,,,,,,
SoX,Chris Bagwell  et al.,,,,,,,,,
SpectraLayers,Sony,,,,,,,,,
Sweep,Conrad Parker,,,,,,,,,
Total Recorder,HighCriteria,Shareware,,,,,,,,
Traverso DAW,Traverso,,,,,,,,NFS,
WaveLab,Steinberg,,,,,,,,,External gear  MIDI
WavePad,NCH Software,/ Freemium,,,,,,,,
WaveSurfer,Centre for Speech Technology at KTH,,,,,,,,,
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
