Application,Creator,Software license
Ashampoo Burning Studio,Ashampoo Software,[empty]
Alcohol 120%,Alcohol Soft,[empty]
CDBurnerXP,Stefan Haglund  Fredrik Haglund,http://www.cdburnerxp.se/help/Intro/license
cdrtools,Jörg Schilling,(CDDL parts are GPL)
DeepBurner,Astonsoft,[empty]
ExpressBurn,NCH Software,[empty]
ImgBurn,LIGHTNING UK!,http://www.imgburn.com/#license
InfraRecorder,Christian Kindahl,(GPL)
K3b,Sebastian Trüg  Christian Kvasny,(GPL)
Nero Burning ROM,Ahead Software,[empty]
UltraISO,EZB Systems,[empty]
X-CD-Roast,T. Niederreiter,(GPL)
Application,Creator,Software license
