Application,CD-R/W,DVD-R/RW/RAM,DVD+R/RW,DVD+R/RW DL,DVD-R/RW DL,BD-R/RE,BD-R/RE DL
Alcohol 120%,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CDBurnerXP,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
cdrtools,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
DeepBurner,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ExpressBurn,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ImgBurn,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
InfraRecorder,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
K3b,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Nero Burning ROM,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UltraISO,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
X-CD-Roast,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Application,CD-R/W 737MB=702MiB,DVD-R/RW/RAM 4.707GB=4.384GiB,DVD+R/RW 4.700GB=4.378GiB,DVD+R/RW DL 8.548GB=7.961GiB,DVD-R/RW DL 8.544GB=7.957GiB,BD-R/RE 25GB=23.31GiB,BD-R/RE DL 50GB=46.61GiB
