Application,ISO 9660,Joliet,Rock Ridge,Amiga rock ridge,El Torito,Apple ISO9660,UDF,MRW
Alcohol 120%,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CDBurnerXP,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
cdrtools,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ExpressBurn,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ImgBurn,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
InfraRecorder,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
K3b,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Nero Burning ROM,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UltraISO,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
X-CD-Roast,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Application,ISO 9660,Joliet,Rock Ridge,Amiga rockridge,El Torito,Apple ISO9660,UDF,MRW
