Software,Creates?,Modifies?,Mounts?,Restores?,Extracts?,Burns?,Input,Output,OS,License,Last_Update_Release
7-Zip,,,,,,{{?}},CramFS  DMG  FAT  HFS  MBR  NTFS  ISO  SquashFS  UDF  VHD  WIM<ref>http://www.7-zip.org/</ref>,WIM,Windows  Linux  Mac OS
AcetoneISO,,,,,,{{?}},CD  DVD  ISO  BIN  MDF  IMG  NRG  CUE  TOC  DMG,CD  DVD  ISO  BIN,Linux,
Acronis True Image,,,,,,{{?}},TIB  VHD,TIB  VHD,Windows,
Alcohol 120%,,,,,,{{?}},ISO  B5T  B6T  BWT  CCD  CDI  CUE  MDS  NRG  ISZ,MDS/MDF  ISO,Windows,
Alcohol 52% FE,,,,,,{{?}},ISO,,Windows,
AnyDVD HD,,,,,,{{?}},,ISO,Windows,
Archive Manager,,,,,,{{?}},ISO,,Unix-like,
Ashampoo Burning Studio,,,,,,{{?}},ISO  BIN/CUE,ISO  BIN/CUE,Windows,
BlindWrite,,,,,,{{?}},B5T  B6T  BWA  BWI  BWS  BWT  CUE/BIN  ISO  MDS/MDF,B5T  B6T  BWA  BWI  BWS  BWT  CUE/BIN  ISO  MDS/MDF,Windows,
Brasero,,,,,,{{?}},ISO  CUE,CD  DVD,Linux,
Burnatonce,,,,,,{{?}},ISO  CUE  TOC,,Windows,
CDBurnerXP,,,,,,{{?}},ISO  MDS/MDF  NRG  BIN/CUE,ISO  MDS/MDF,Windows,
CDemu,,,,,,{{?}},CSO  ECM  GBI  GZ  XZ  ISZ  DMG  ISO  UDF  NRG  CDI  CCD  SUB  IMG  CUE/BIN  TOC  B5T  B6T  MDS  MDX  CIF  C2D  DAA,,Linux,
genisoimage,,,,,,{{?}},,,Linux <br />Unix,
isoinfo,,,,,,{{?}},,,Unix <br /> Linux <br />Amiga<br />Windows <br /> Mac OS X,
mkisofs,,,,,,{{?}},,,Unix <br /> Linux <br />Amiga<br />Windows <br /> Mac OS X,
CDRoller,,,,,,{{?}},ISO,ISO,Windows,
CDRWIN,,,,,,{{?}},CUE  BIN,CUE  BIN,Windows,
CloneCD,,,,,,{{?}},,ISO  UFD  IMG (CloneCD),Windows,
CloneDVD,,,,,,{{?}},ISO,ISO,Windows,
CopyCatX,,,,,,{{?}},DMG,DMG,Mac OS X,
