Encryption,Developer,First released,Licensing,Maintained?
Aloaha Crypt Disk,Aloaha,2008,,
ArchiCrypt Live,Softwaredevelopment Remus ArchiCrypt,1998,,
BestCrypt,Jetico,1993<ref></ref>,,
BitArmor DataControl,BitArmor Systems Inc.,2008-05,,
BitLocker,Microsoft,2006,,
Bloombase Keyparc,Bloombase,2007,,<ref></ref>
Boxcryptor,Secomba GmbH,2011,,
CGD,Roland C. Dowdeswell,2002-10-04<ref></ref>,,
CenterTools DriveLock,CenterTools,2008,,
Check Point Full Disk Encryption,Check Point Software Technologies Ltd,1999<ref name="infoworld.com"></ref><ref>Company and product name change to Pointsec </ref><ref></ref>,,
CipherShed,CipherShed Project,2014<ref></ref>,<ref></ref>,
CrossCrypt,Steven Scherrer,2004-02-10<ref></ref>,,
CryFS,Sebastian Messmer,2015,,
Cryhod,Prim'X Technologies,2010,,
Cryptainer,Cypherix Software,1999,,
CryptArchiver,WinEncrypt,,,
Cryptoloop,,2003-07-02<ref>Initial cryptoloop patches for the Linux 2.5 development kernel: </ref>,,
Cryptomator,Skymatic UG (haftungsbeschränkt),2016-03-09,,
CryptoPro Secure Disk Enterprise,cpsd it-services GmbH,2010,,
CryptoPro Secure Disk for BitLocker,cpsd it-services GmbH,2012,,
CryptSync,Stefan Küng,2012,,
Discryptor,Cosect Ltd.,2008,,
DiskCryptor,ntldr,2007,,
DISK Protect,Becrypt Ltd,2001,,
Cryptsetup / Dmsetup,Christophe Saout,2004-03-11<ref>dm-crypt was first included in Linux kernel version 2.6.4: https://lwn.net/Articles/75404/</ref>,,
Dm-crypt / LUKS,Clemens Fruhwirth (LUKS),2005-02-05<ref></ref>,,
DriveCrypt,SecurStar GmbH,2001,,<ref></ref>
DriveSentry GoAnywhere 2,DriveSentry,2008,,
E4M,Paul Le Roux,1998-12-18<ref></ref>,,
e-Capsule Private Safe,EISST Ltd.,2005,,
eCryptfs,Dustin Kirkland  Tyler Hicks  (formerly Mike Halcrow),2005<ref></ref>,,
EgoSecure HDD Encryption,EgoSecure GmbH,2006,,
EncFS,Valient Gough,2003<ref></ref>,,
EncryptStick,ENC Security Systems,2009,,
FileVault,Apple Inc.,2003-10-24,,
FileVault 2,Apple Inc.,2011-07-20,,
FinalCrypt,Ron de Jong,2017-11-16,,
FREE CompuSec,CE-Infosys,2002,,
FreeOTFE,Sarah Dean,2004-10-10<ref></ref>,,
GBDE,Poul-Henning Kamp,2002-10-19<ref></ref>,,
GELI,Pawel Jakub Dawidek,2005-04-11<ref></ref>,,
GnuPG,Werner Koch,1999-09-07<ref>Release Notes. GnuPG</ref>,,
gocryptfs,Jakob Unterwurzacher,2015-10-07<ref></ref>,,
Knox,AgileBits,2010,,
KryptOS,The MorphOS Development Team,2010,,
LibreCrypt,tdk,2014-06-19<ref></ref>,,
Loop-AES,Jari Ruusu,2001-04-11,,
McAfee Drive Encryption (SafeBoot),McAfee  Inc.,2007<ref></ref>,,
n-Crypt Pro,n-Trance Security Ltd,2005,,
PGPDisk,PGP Corporation (acquired by Symantec in 2010),1998-09-01<ref></ref>,,
Private Disk,Dekart,1993<ref></ref>,,
ProxyCrypt,v77,2013,,
R-Crypto,R-Tools Technology Inc,2008,,
SafeGuard Easy,Sophos (Utimaco),1993<ref></ref>,,
SafeGuard Enterprise,Sophos (Utimaco),2007<ref></ref>,,
SafeGuard PrivateDisk,Sophos (Utimaco)<ref name="LenovoPrivateDisk">Rebranded as ThinkVantage Client Security </ref>,2000,,
SafeHouse Professional,PC Dynamics  Inc.,1992,,
Scramdisk,Shaun Hollingworth,1997-07-01,,
Scramdisk 4 Linux,Hans-Ulrich Juettner,2005-08-06<ref></ref>,,
SecuBox,Aiko Solutions,2007-02-19,,
SECUDE Secure Notebook,SECUDE,2003,,
SecureDoc,WinMagic Inc.,1997,,
Sentry 2020,SoftWinter,1998<ref></ref>,,
Softraid / RAID C,OpenBSD,2007-11-01<ref></ref>,,
SpyProof!,Information Security Corp.,2002,,
Svnd / Vnconfig,OpenBSD,2000-12-01<ref></ref>,,
Symantec Endpoint Encryption,Symantec Corporation,2008,,
Tcplay,Alex Hornung,2012-01-28<ref></ref>,,
Trend Micro Endpoint Encryption (Mobile Armor),Trend Micro<ref>Trend Micro</ref>,2004 or earlier<ref></ref>,,
TrueCrypt,TrueCrypt Foundation,2004-02-02<ref></ref>,<ref></ref>,
USBCrypt,WinAbility Software Corp.,2010,,
VeraCrypt,IDRIX,2013-06-22<ref></ref>,
CyberSafe Top Secret,CyberSoft,2013,,
Name,Developer,First released,Licensing,Maintained?
