Name,Windows NT,Windows Mobile (incl.Pocket PC),FreeBSD,Linux,Mac OS X,NetBSD,OpenBSD,DragonFly BSD,Android,iOS
Aloaha Crypt Disk,,,,,,,,,,
BestCrypt Volume Encryption,,,,<ref></ref>,,,,,,
BitArmor DataControl,,,,,,,,,,
BitLocker,,,,<ref name=dislocker>https://github.com/Aorimn/dislocker FUSE driver to read/write Windows BitLocker-ed volumes under Linux / Mac OSX</ref>,<ref name=dislocker />,,,,,
Bloombase Keyparc,,,,,,,,,,
Boxcryptor,,,,,,,,,,
CenterTools DriveLock,,,,,,,,,,
CGD,,,,,,,,,,
Check Point Full Disk Encryption,,,,<ref></ref>,,,,,,
CipherShed,,,<ref>http://www.truecrypt.org/misc/freebsd Although CipherShed can be built under FreeBSD  it is not recommended to run it because of bugs and instabilities when CipherShed is attempted to be used</ref>,,,,,,<ref name="play.google.com">https://play.google.com/store/apps/details?id=com.sovworks.edslite Third party app allows to open containers encryptes with AES-256  SHA-512 hash and FAT file system</ref>,
CrossCrypt,<ref>CrossCrypt - Only for the Microsoft Windows XP/2000 operating systems</ref>,,,,,,,,,
CryFS,,,,,,,,,,
Cryhod,,,,,,,,,,
Cryptainer,,<ref>http://cypherix.com/downloads.htm PocketPC freeware release- SmartPhone beta available</ref>,,,,,,,,
CryptArchiver,,,,,,,,,,
Cryptoloop,<ref name="freeotfe.org">http://www.freeotfe.org/docs/Main/Linux_volumes.htm FreeOTFE supports cryptoloop  dm-crypt/cryptsetup/dmsetup  and dm-crypt/LUKS volumes</ref>,,,,,,,,,
Cryptomator,<ref name="cryptomator.org">http://www.cryptomator.org</ref>,,,,,,,,,
CryptoPro Secure Disk Enterprise,,,,,,,,,,
CryptoPro Secure Disk for BitLocker,,,,,,,,,,
Cryptsetup / Dmsetup,<ref name="freeotfe.org"/>,,,,,,,,,
CryptSync,,,,,,,,,,
Discryptor,,,,,,,,,,
DiskCryptor,,,,,,,,,,
DISK Protect,,,,,,,,,,
Dm-crypt / LUKS,<ref name="freeotfe.org"/>,<ref>http://www.freeotfe.org/docs/Main/Linux_volumes.htm FreeOTFE4PDA supports dm-crypt/LUKS volumes</ref>,,,,,,,,
DriveCrypt,,,,,,,,,,
DriveSentry GoAnywhere 2,,,,,,,,,,
E4M,,,,,,,,,,
e-Capsule Private Safe,,,,,,,,,,
eCryptfs,,,,,,,,,,
EgoSecure HDD Encryption,,,,,,,,,,
EncFS,<ref name="save"></ref>,<ref name="boxcryptor"></ref>,(FUSE),(FUSE),<ref name="save" />,(FUSE),(FUSE),(FUSE),<ref name="boxcryptor" />,
EncryptStick,,,,,,,,,,
FileVault,,,,,,,,,,
FileVault 2,,,,<ref>https://code.google.com/p/libfvde/ libfvde supports reading FileVault2 Drive Encryption (FVDE) encrypted volumes</ref>,,,,,,
FinalCrypt,,,,,,,,,,
FREE CompuSec,,,,,,,,,,
FreeOTFE,,,,<ref>http://www.freeotfe.org/docs/Main/Linux_volumes.htm Supports Linux volumes</ref>,,,,,,
GBDE,,,,,,,,,,
GELI,,,,,,,,,,
Knox,,,,,,,,,,
LibreCrypt,,,,<ref>https://github.com/t-d-k/LibreCrypt/blob/master/docs/Linux_volumes.md Supports Linux volumes</ref>,,,,,<ref>https://play.google.com/store/apps/details?id=com.nemesis2.luksmanager&hl=en_GB Third party app allows a user to open LibreCrypt compatible LUKS containers</ref>,
Loop-AES,,,,,,,,,,
McAfee Drive Encryption (SafeBoot),,<ref name="Endpoint Encryption for Mobile"></ref>,,,,,,,,
n-Crypt Pro,,,,,,,,,,
PGPDisk,,,,,,,,,,
PGP Whole Disk Encryption,,,,,,,,,,
Private Disk,,,,,,,,,,
ProxyCrypt,,,,,,,,,,
R-Crypto,,,,,,,,,,
SafeGuard Easy,,,,,,,,,,
SafeGuard Enterprise,,,,,,,,,,
SafeGuard PrivateDisk,,,,,,,,,,
SafeHouse Professional,,,,,,,,,,
Scramdisk,,,,,,,,,,
Scramdisk 4 Linux,,,,,,,,,,
SecuBox,,,,,,,,,,
SecureDoc,,,,,,,,,,
Sentry 2020,,,,,,,,,,
Softraid / RAID C,,,,,,,,,,
SpyProof!,,,,,,,,,,
Svnd / Vnconfig,,,,,,,,,,
Symantec Endpoint Encryption,,,,<ref></ref>,,,,,,
Tcplay,,,,,,,,,,
Trend Micro Endpoint Encryption,,,,,,,,,,
TrueCrypt,,,<ref>http://www.truecrypt.org/misc/freebsd Although TrueCrypt can be built under FreeBSD  it is not recommended to run it because of bugs and instabilities when TrueCrypt is attempted to be used</ref>,,,,,,<ref name="play.google.com"/>,
USBCrypt,,,,,,,,,,
VeraCrypt,,,,,,,,,<ref>https://play.google.com/store/apps/details?id=com.sovworks.eds.android Third party app allows to encrypt and decrypt VeraCrypt containers (only available in the paid version)</ref>,
CyberSafe Top Secret,,,,,,,,,,
Name,Windows NT,Windows Mobile (incl. Pocket PC),FreeBSD,Linux,Mac OS X,NetBSD,OpenBSD,DragonFly BSD,Android,iOS
