Client,Written in,License,Access API
Ceph,C++,,librados (C  C++  Python  Ruby)  S3  Swift  FUSE
BeeGFS,C / C++,POSIX
GlusterFS,C,,libglusterfs  FUSE  NFS  SMB  Swift  libgfapi
Infinit<ref></ref>,C++,(to be open sourced)<ref></ref>,FUSE  Installable File System  NFS/SMB  POSIX  CLI  SDK (libinfinit)
Isilon OneFS,C/C++,,POSIX  NFS  SMB/CIFS  HDFS  HTTP  FTP  SWIFT Object  CLI  Rest API
ObjectiveFS<ref></ref>,C,,POSIX  FUSE
MooseFS,C,,POSIX  FUSE
Quantcast File System,C,,C++ client  FUSE (C++ server: MetaServer and ChunkServer are both in C++)
Spectrum Scale (GPFS),C  C++,,POSIX  NFS  SMB  Swift
Lustre,C,,POSIX  liblustre  FUSE
MapR-FS,C  C++,,POSIX  NFS  FUSE  S3
OpenAFS,C,,Virtual file system  Installable File System
PanFS,C  C++,Proprietary,DirectFlow  POSIX  NFS  SMB/CIFS  HTTP  CLI
scality,C,,fuse  NFS file system  rest  AWS S3
Tahoe-LAFS,Python,GNU GPL 2+ and other<ref></ref>,HTTP (browser or CLI)  SFTP  FTP  FUSE via SSHFS  pyfilesystem
HDFS,Java,,Java and C client  HTTP
XtreemFS,Java  C++,,libxtreemfs (Java  C++)  FUSE
Ori<ref></ref>,C  C++,,libori  FUSE
