,PHP,Perl,Python,Ruby,JavaScript,ActionScript,PL/SQL,Transact-SQL,Tcl,Haskell
Ddoc,,,,,,,,,,
Document! X,,,,,,,,,,
Doxygen,,,,,,,,,,
Epydoc,,,,,,,,,,
Haddock,,,,,,,,,,
HeaderDoc,,,,,,,,,,
Imagix 4D,,,,,,,,,,
Javadoc,,,,,,,,,,
JSDoc,,,,,,,,,,
JsDoc Toolkit,,,,,,,,,,
Natural Docs,Partial,,Partial,Partial,Partial,,Partial,,Partial,
NDoc,,,,,,,,,,
perldoc,,,,,,,,,,
phpDocumentor,,,,,,,,,,
pydoc,,,,,,,,,,
RDoc,,,,,,,,,,
ROBODoc,,,,,,Partial,,,,
Sphinx,with Plugin,,,with Plugin,,,,,,
Visual Expert,,,,,,,<ref name="Visual Expert for Oracle"></ref>,<ref name="Visual Expert for SQL Server"></ref>,,
VSdocman,,,,,,,,,,
YARD,,,,,,,,,,
,PHP,Perl,Python,Ruby,JavaScript,ActionScript,PL/SQL,Transact-SQL,Tcl,Haskell
