Word processor,Apple,Atari,CP/M,CPT,Commodore 64,HP,IBM PC,Kaypro,Macintosh,Morrow,IBM PCjr,Rainbow 100,TI Professional,Tandy,ZX Spectrum
Tasword,,,,,,,,,,,,,,
Homeword,II  IIc IIe,800,,,,,,,,,,,,
MacWrite,,,,,,,,,,,,,,
Pfs:Write,II  IIc IIe,,,,,,,,,,,,,
AtariWriter,,800XL  1200,,,,,,,,,,,,
OMNIWRITER,,,,,,,,,,,,,,
Word Juggler,II IIe III,,,,,,,,,,,,,
PC-Write,,,,,,,,,,,,,,
Wordvision,,,,,,,,,,,,,,
Volkswriter deluxe,,,,,,,,,,,,,,
Perfect Writer,,,,,,,,,,,,,,
Plu Perfect,,,,,,,,2.4.10,,,,,,
Wordstar,II IIe,,,,,110.150,,,,,,,,TRS-80
Newword,IIe,,,,,,,,,,,,,
Appleworks,II  IIe,,,,,,,,,,,,,
AppleWriter,II  IIe  III,,,,,,,,,,,,,
III E-Z Pieces,III,,,,,,,,,,,,,
Symphony,,,,,,,,,,,,,,
Framework,,,,,,,,,,,,,,
XY Write II+,,,,,,,,,,,,,,
WordPerfect,,,,,,,,,,,,,,Tandy 2000
Microsoft Word,,,,,,,,,,,,,,Tandy 2000
CPT Word Processors,,,,,,,,,,,,,,
